ngram,doc_freq,doc_freq_ratio
"('AUX', 'prep', 'ADP', 'pobj', 'NOUN')",2521,0.12605
"('NOUN', 'acl', 'VERB', 'prep', 'ADP')",2504,0.1252
"('AUX', 'advmod', 'ADV')",2491,0.12455
"('VERB', 'nsubj', 'NOUN', 'prep', 'ADP', 'pobj', 'NOUN')",2457,0.12285
"('VERB', 'ccomp', 'VERB', 'prep', 'ADP')",2450,0.1225
"('VERB', 'advmod', 'SCONJ')",2414,0.1207
"('ADP', 'pcomp', 'VERB')",2328,0.1164
"('ADJ', 'cc', 'CCONJ')",2284,0.1142
"('VERB', 'prep', 'ADP', 'pobj', 'PROPN')",2271,0.11355
"('ADP', 'pobj', 'NOUN', 'relcl', 'VERB')",2204,0.1102
"('ADV', 'advmod', 'ADV')",2199,0.10995
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'compound', 'NOUN')",2181,0.10905
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'prep', 'ADP')",2140,0.107
"('NOUN', 'acl', 'VERB', 'prep', 'ADP', 'pobj', 'NOUN')",2111,0.10555
"('ADJ', 'prep', 'ADP', 'pobj', 'NOUN')",2108,0.1054
"('VERB', 'npadvmod', 'NOUN')",2094,0.1047
"('VERB', 'dobj', 'PROPN')",2076,0.1038
"('VERB', 'conj', 'VERB', 'advmod', 'ADV')",2075,0.10375
"('NOUN', 'conj', 'NOUN', 'det', 'DET')",2061,0.10305
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'compound', 'NOUN')",2055,0.10275
"('VERB', 'ccomp', 'VERB', 'dobj', 'NOUN')",2038,0.1019
"('VERB', 'dobj', 'NOUN', 'compound', 'NOUN')",2035,0.10175
"('NOUN', 'conj', 'NOUN', 'amod', 'ADJ')",2008,0.1004
"('VERB', 'punct', 'PUNCT', 'dep', 'SPACE')",1992,0.0996
"('ADP', 'pobj', 'NOUN', 'acl', 'VERB')",1988,0.0994
"('VERB', 'dobj', 'NOUN', 'punct', 'PUNCT')",1987,0.09935
"('VERB', 'ccomp', 'AUX', 'nsubj', 'PRON')",1967,0.09835
"('VERB', 'conj', 'VERB', 'nsubj', 'PRON')",1961,0.09805
"('VERB', 'nsubjpass', 'NOUN', 'det', 'DET')",1913,0.09565
"('NOUN', 'relcl', 'VERB', 'prep', 'ADP')",1910,0.0955
"('AUX', 'mark', 'SCONJ')",1904,0.0952
"('ADP', 'pobj', 'PROPN', 'compound', 'PROPN')",1894,0.0947
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'poss', 'PRON')",1892,0.0946
"('VERB', 'expl', 'PRON')",1846,0.0923
"('NOUN', 'compound', 'PROPN')",1810,0.0905
"('VERB', 'advcl', 'VERB', 'dobj', 'NOUN', 'det', 'DET')",1807,0.09035
"('ADJ', 'conj', 'ADJ')",1804,0.0902
"('VERB', 'nsubjpass', 'PRON')",1802,0.0901
"('VERB', 'conj', 'VERB', 'dobj', 'NOUN', 'det', 'DET')",1790,0.0895
"('ADJ', 'punct', 'PUNCT')",1784,0.0892
"('PROPN', 'case', 'PART')",1782,0.0891
"('VERB', 'agent', 'ADP')",1779,0.08895
"('AUX', 'attr', 'NOUN', 'amod', 'ADJ')",1743,0.08715
"('VERB', 'attr', 'NOUN')",1717,0.08585
"('VERB', 'ccomp', 'VERB', 'prep', 'ADP', 'pobj', 'NOUN')",1712,0.0856
"('VERB', 'ccomp', 'VERB', 'advmod', 'ADV')",1689,0.08445
"('VERB', 'conj', 'VERB', 'aux', 'AUX')",1681,0.08405
"('AUX', 'aux', 'AUX')",1663,0.08315
"('ADP', 'pobj', 'NOUN', 'amod', 'VERB')",1644,0.0822
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'punct', 'PUNCT')",1640,0.082
"('VERB', 'nsubj', 'PROPN', 'compound', 'PROPN')",1637,0.08185
"('VERB', 'xcomp', 'VERB', 'prep', 'ADP')",1636,0.0818
"('VERB', 'xcomp', 'VERB', 'dobj', 'NOUN')",1628,0.0814
"('VERB', 'ccomp', 'VERB', 'nsubj', 'NOUN')",1627,0.08135
"('VERB', 'dobj', 'NOUN', 'conj', 'NOUN')",1624,0.0812
"('ADP', 'pobj', 'PROPN', 'det', 'DET')",1621,0.08105
"('VERB', 'ccomp', 'VERB', 'mark', 'SCONJ')",1598,0.0799
"('ADP', 'pobj', 'NOUN', 'relcl', 'VERB', 'nsubj', 'PRON')",1583,0.07915
"('VERB', 'advcl', 'VERB', 'advmod', 'ADV')",1567,0.07835
"('VERB', 'dobj', 'NOUN', 'cc', 'CCONJ')",1564,0.0782
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'conj', 'NOUN')",1561,0.07805
"('VERB', 'nsubj', 'NOUN', 'poss', 'PRON')",1560,0.078
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'cc', 'CCONJ')",1559,0.07795
"('AUX', 'prep', 'ADP', 'pobj', 'NOUN', 'det', 'DET')",1553,0.07765
"('AUX', 'acomp', 'ADJ', 'advmod', 'ADV')",1545,0.07725
"('NOUN', 'relcl', 'VERB', 'aux', 'AUX')",1538,0.0769
"('AUX', 'conj', 'VERB')",1537,0.07685
"('NOUN', 'advmod', 'ADV')",1530,0.0765
"('AUX', 'advcl', 'VERB')",1499,0.07495
"('NOUN', 'prep', 'ADP', 'pobj', 'PRON')",1489,0.07445
"('VERB', 'advmod', 'ADV', 'advmod', 'ADV')",1488,0.0744
"('NOUN', 'appos', 'NOUN')",1485,0.07425
"('NOUN', 'poss', 'PROPN')",1482,0.0741
"('ADJ', 'det', 'DET')",1463,0.07315
"('NOUN', 'poss', 'PROPN', 'case', 'PART')",1452,0.0726
"('NOUN', 'acl', 'VERB', 'dobj', 'NOUN')",1439,0.07195
"('VERB', 'agent', 'ADP', 'pobj', 'NOUN')",1436,0.0718
"('PROPN', 'cc', 'CCONJ')",1394,0.0697
"('VERB', 'advcl', 'VERB', 'punct', 'PUNCT')",1375,0.06875
"('VERB', 'prep', 'ADP', 'pcomp', 'VERB')",1370,0.0685
"('AUX', 'attr', 'NOUN', 'prep', 'ADP')",1355,0.06775
"('VERB', 'advcl', 'VERB', 'aux', 'PART')",1352,0.0676
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'punct', 'PUNCT')",1305,0.06525
"('NOUN', 'amod', 'ADJ', 'advmod', 'ADV')",1301,0.06505
"('ADP', 'pobj', 'NOUN', 'nummod', 'NUM')",1285,0.06425
"('AUX', 'acomp', 'ADJ', 'prep', 'ADP')",1283,0.06415
"('VERB', 'nsubj', 'NOUN', 'punct', 'PUNCT')",1281,0.06405
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'cc', 'CCONJ')",1247,0.06235
"('NOUN', 'case', 'PART')",1224,0.0612
"('VERB', 'conj', 'VERB', 'dobj', 'PRON')",1214,0.0607
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'conj', 'NOUN')",1213,0.06065
"('VERB', 'advcl', 'VERB', 'aux', 'AUX')",1212,0.0606
"('VERB', 'ccomp', 'VERB', 'dobj', 'PRON')",1209,0.06045
"('ADP', 'advmod', 'ADV')",1205,0.06025
"('NOUN', 'relcl', 'VERB', 'prep', 'ADP', 'pobj', 'NOUN')",1194,0.0597
"('VERB', 'conj', 'VERB', 'advcl', 'VERB')",1192,0.0596
"('VERB', 'dobj', 'NOUN', 'relcl', 'VERB')",1181,0.05905
"('VERB', 'conj', 'AUX')",1177,0.05885
"('ADP', 'pobj', 'NOUN', 'prep', 'ADP', 'pobj', 'PROPN')",1174,0.0587
"('NOUN', 'amod', 'ADJ', 'cc', 'CCONJ')",1173,0.05865
"('VERB', 'xcomp', 'VERB', 'prep', 'ADP', 'pobj', 'NOUN')",1167,0.05835
"('NOUN', 'poss', 'NOUN')",1167,0.05835
"('ADV', 'prep', 'ADP')",1167,0.05835
"('ADJ', 'prep', 'ADP', 'pobj', 'NOUN', 'det', 'DET')",1165,0.05825
"('ADP', 'prep', 'ADP')",1165,0.05825
"('VERB', 'ccomp', 'VERB', 'dobj', 'NOUN', 'det', 'DET')",1164,0.0582
"('NOUN', 'relcl', 'VERB', 'dobj', 'NOUN')",1158,0.0579
"('NOUN', 'poss', 'NOUN', 'case', 'PART')",1125,0.05625
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'relcl', 'VERB')",1111,0.05555
"('ADP', 'punct', 'PUNCT')",1107,0.05535
"('VERB', 'conj', 'VERB', 'nsubj', 'NOUN')",1105,0.05525
"('VERB', 'advcl', 'VERB', 'nsubj', 'NOUN')",1105,0.05525
"('NOUN', 'amod', 'ADJ', 'conj', 'ADJ')",1092,0.0546
"('VERB', 'conj', 'VERB', 'cc', 'CCONJ')",1092,0.0546
"('AUX', 'neg', 'PART')",1092,0.0546
"('VERB', 'attr', 'NOUN', 'det', 'DET')",1087,0.05435
"('VERB', 'acomp', 'ADJ')",1085,0.05425
"('VERB', 'ccomp', 'AUX', 'acomp', 'ADJ')",1078,0.0539
"('AUX', 'nsubj', 'PROPN')",1046,0.0523
"('VERB', 'nsubj', 'NOUN', 'compound', 'NOUN')",1044,0.0522
"('PROPN', 'prep', 'ADP')",1022,0.0511
"('AUX', 'attr', 'NOUN', 'prep', 'ADP', 'pobj', 'NOUN')",1004,0.0502
"('AUX', 'conj', 'VERB', 'punct', 'PUNCT')",997,0.04985
"('AUX', 'ccomp', 'VERB')",995,0.04975
"('VERB', 'conj', 'VERB', 'conj', 'VERB')",994,0.0497
"('VERB', 'ccomp', 'VERB', 'cc', 'CCONJ')",992,0.0496
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'acl', 'VERB')",988,0.0494
"('NOUN', 'conj', 'NOUN', 'prep', 'ADP')",977,0.04885
"('VERB', 'nsubj', 'NOUN', 'nummod', 'NUM')",977,0.04885
"('VERB', 'advcl', 'VERB', 'advmod', 'SCONJ')",958,0.0479
"('NOUN', 'prep', 'ADP', 'pobj', 'PROPN', 'compound', 'PROPN')",953,0.04765
"('VERB', 'ccomp', 'AUX', 'punct', 'PUNCT')",945,0.04725
"('VERB', 'advcl', 'VERB', 'dobj', 'PRON')",943,0.04715
"('VERB', 'advcl', 'AUX')",942,0.0471
"('ADP', 'pcomp', 'VERB', 'dobj', 'NOUN')",941,0.04705
"('PROPN', 'amod', 'ADJ')",941,0.04705
"('ADP', 'pobj', 'NOUN', 'acl', 'VERB', 'prep', 'ADP')",936,0.0468
"('ADP', 'pobj', 'ADJ')",929,0.04645
"('ADP', 'pobj', 'NOUN', 'conj', 'NOUN', 'amod', 'ADJ')",927,0.04635
"('VERB', 'conj', 'VERB', 'dobj', 'NOUN', 'amod', 'ADJ')",916,0.0458
"('NOUN', 'conj', 'NOUN', 'punct', 'PUNCT')",913,0.04565
"('VERB', 'ccomp', 'AUX', 'attr', 'NOUN')",911,0.04555
"('VERB', 'advcl', 'VERB', 'dobj', 'NOUN', 'amod', 'ADJ')",909,0.04545
"('VERB', 'xcomp', 'VERB', 'dobj', 'NOUN', 'det', 'DET')",906,0.0453
"('VERB', 'attr', 'NOUN', 'prep', 'ADP')",905,0.04525
"('VERB', 'advcl', 'VERB', 'cc', 'CCONJ')",901,0.04505
"('AUX', 'aux', 'PART')",898,0.0449
"('ADP', 'prep', 'ADP', 'pobj', 'NOUN')",896,0.0448
