ngram,doc_freq,doc_freq_ratio
"('NOUN', 'PART')",3042,0.1521
"('VERB', 'PART', 'VERB')",3033,0.15165
"('PUNCT', 'ADP', 'DET')",3012,0.1506
"('NOUN', 'PUNCT', 'DET', 'NOUN')",2974,0.1487
"('NOUN', 'PUNCT', 'PRON', 'VERB')",2967,0.14835
"('ADP', 'NOUN', 'ADP')",2948,0.1474
"('SCONJ', 'PRON', 'VERB')",2947,0.14735
"('DET', 'NOUN', 'ADP', 'NOUN')",2934,0.1467
"('NOUN', 'ADP', 'ADJ')",2918,0.1459
"('ADJ', 'NOUN', 'VERB')",2917,0.14585
"('VERB', 'SCONJ')",2910,0.1455
"('PRON', 'ADV')",2898,0.1449
"('PROPN', 'PROPN', 'PUNCT')",2897,0.14485
"('ADJ', 'ADJ', 'NOUN')",2886,0.1443
"('PRON', 'VERB', 'PUNCT')",2878,0.1439
"('AUX', 'AUX')",2833,0.14165
"('ADP', 'ADP')",2787,0.13935
"('AUX', 'VERB', 'ADP', 'DET')",2758,0.1379
"('PUNCT', 'PRON', 'AUX', 'VERB')",2754,0.1377
"('VERB', 'PRON', 'PUNCT')",2743,0.13715
"('ADJ', 'NOUN', 'CCONJ')",2739,0.13695
"('AUX', 'PART', 'VERB')",2735,0.13675
"('SCONJ', 'DET')",2720,0.136
"('VERB', 'PROPN')",2717,0.13585
"('PRON', 'AUX', 'PART')",2703,0.13515
"('PART', 'VERB', 'PRON')",2654,0.1327
"('PUNCT', 'VERB', 'ADP')",2647,0.13235
"('VERB', 'ADP', 'NOUN')",2633,0.13165
"('NOUN', 'PUNCT', 'PRON', 'AUX')",2624,0.1312
"('NOUN', 'PUNCT', 'NOUN')",2623,0.13115
"('CCONJ', 'DET', 'NOUN')",2579,0.12895
"('ADJ', 'NOUN', 'NOUN')",2568,0.1284
"('VERB', 'ADP', 'DET', 'ADJ')",2554,0.1277
"('PRON', 'AUX', 'ADV')",2521,0.12605
"('VERB', 'DET', 'NOUN', 'PUNCT')",2513,0.12565
"('NOUN', 'SCONJ')",2512,0.1256
"('NOUN', 'ADP', 'NOUN', 'PUNCT')",2502,0.1251
"('DET', 'NOUN', 'CCONJ')",2492,0.1246
"('ADJ', 'CCONJ')",2485,0.12425
"('NOUN', 'ADP', 'PROPN')",2453,0.12265
"('NOUN', 'VERB', 'DET')",2450,0.1225
"('NOUN', 'NOUN', 'ADP')",2442,0.1221
"('PRON', 'VERB', 'DET', 'NOUN')",2438,0.1219
"('PRON', 'PRON')",2434,0.1217
"('VERB', 'NOUN', 'PUNCT')",2412,0.1206
"('AUX', 'VERB', 'DET')",2410,0.1205
"('PROPN', 'AUX')",2408,0.1204
"('VERB', 'PRON', 'ADP')",2402,0.1201
"('NOUN', 'VERB', 'ADP', 'DET')",2371,0.11855
"('PUNCT', 'AUX')",2341,0.11705
"('AUX', 'VERB', 'PRON')",2327,0.11635
"('PART', 'NOUN')",2315,0.11575
"('NOUN', 'ADP', 'PRON', 'NOUN')",2307,0.11535
"('DET', 'NOUN', 'ADP', 'PRON')",2302,0.1151
"('NOUN', 'AUX', 'VERB', 'ADP')",2293,0.11465
"('PUNCT', 'PUNCT', 'PUNCT')",2293,0.11465
"('VERB', 'PUNCT', 'PUNCT')",2274,0.1137
"('PUNCT', 'NOUN', 'PUNCT')",2270,0.1135
"('CCONJ', 'ADV')",2267,0.11335
"('DET', 'NOUN', 'PRON')",2251,0.11255
"('PRON', 'ADJ', 'NOUN')",2243,0.11215
"('NOUN', 'ADP', 'ADJ', 'NOUN')",2237,0.11185
"('AUX', 'VERB', 'PUNCT')",2211,0.11055
