ngram,doc_freq,doc_freq_ratio
"('ccomp', 'dobj', 'det')",1443,0.07215
"('ccomp', 'acomp')",1436,0.0718
"('appos', 'det')",1419,0.07095
"('compound', 'compound')",1409,0.07045
"('ccomp', 'advcl')",1387,0.06935
"('amod', 'conj')",1385,0.06925
"('intj',)",1384,0.0692
"('conj', 'ccomp')",1362,0.0681
"('dobj', 'prep', 'pobj', 'amod')",1355,0.06775
"('nsubj', 'cc')",1350,0.0675
"('pobj', 'poss', 'case')",1346,0.0673
"('amod', 'cc')",1344,0.0672
"('pcomp', 'dobj')",1340,0.067
"('ccomp', 'ccomp')",1335,0.06675
"('prep', 'pcomp', 'dobj')",1307,0.06535
"('nsubj', 'conj')",1301,0.06505
"('prep', 'pobj', 'poss', 'case')",1296,0.0648
"('pobj', 'appos')",1281,0.06405
"('conj', 'dobj', 'amod')",1255,0.06275
"('ccomp', 'neg')",1248,0.0624
"('ccomp', 'conj')",1232,0.0616
"('conj', 'nsubj', 'det')",1231,0.06155
"('prep', 'prep')",1227,0.06135
"('nsubj', 'prep', 'pobj', 'amod')",1223,0.06115
"('xcomp', 'dobj', 'det')",1221,0.06105
"('dobj', 'relcl', 'nsubj')",1215,0.06075
"('prep', 'pobj', 'appos')",1211,0.06055
"('conj', 'ccomp', 'nsubj')",1198,0.0599
"('appos', 'punct')",1196,0.0598
"('conj', 'prep', 'pobj', 'prep')",1191,0.05955
"('advmod', 'prep')",1188,0.0594
"('ccomp', 'ccomp', 'nsubj')",1187,0.05935
"('advcl', 'dobj', 'amod')",1186,0.0593
"('conj', 'xcomp')",1177,0.05885
"('advcl', 'conj')",1175,0.05875
"('nsubj', 'nummod')",1166,0.0583
"('pobj', 'prep', 'pobj', 'poss')",1165,0.05825
"('advcl', 'nsubj', 'det')",1164,0.0582
"('advcl', 'cc')",1164,0.0582
"('attr', 'prep', 'pobj', 'det')",1161,0.05805
"('prep', 'prep', 'pobj')",1145,0.05725
"('pobj', 'relcl', 'prep')",1135,0.05675
"('pobj', 'conj', 'amod')",1135,0.05675
"('compound', 'amod')",1122,0.0561
"('nsubj', 'appos')",1116,0.0558
"('pobj', 'relcl', 'dobj')",1111,0.05555
"('advmod', 'prep', 'pobj')",1091,0.05455
"('xcomp', 'prep', 'pobj', 'det')",1085,0.05425
"('prep', 'advmod')",1068,0.0534
"('prep', 'pobj', 'relcl', 'prep')",1065,0.05325
"('prep', 'pobj', 'relcl', 'dobj')",1044,0.0522
"('advcl', 'prep', 'pobj', 'amod')",1038,0.0519
"('pobj', 'relcl', 'prep', 'pobj')",1037,0.05185
"('dative',)",1036,0.0518
"('pobj', 'conj', 'det')",1033,0.05165
"('relcl', 'prep', 'pobj', 'det')",1012,0.0506
"('conj', 'xcomp', 'aux')",1007,0.05035
"('prep', 'pobj', 'conj', 'amod')",1007,0.05035
"('poss', 'det')",1004,0.0502
"('pobj', 'acl', 'prep')",1003,0.05015
"('conj', 'prep', 'pobj', 'poss')",998,0.0499
"('attr', 'punct')",974,0.0487
"('oprd',)",970,0.0485
"('conj', 'acomp')",970,0.0485
"('dobj', 'acl')",969,0.04845
"('pobj', 'acl', 'prep', 'pobj')",961,0.04805
"('advcl', 'ccomp')",958,0.0479
"('prep', 'pobj', 'acl', 'prep')",958,0.0479
"('acl', 'dobj', 'det')",956,0.0478
"('appos', 'amod')",948,0.0474
"('pcomp', 'prep')",934,0.0467
"('conj', 'dobj', 'prep')",934,0.0467
"('pobj', 'relcl', 'aux')",921,0.04605
"('ccomp', 'attr', 'det')",921,0.04605
"('predet',)",921,0.04605
"('conj', 'advcl', 'nsubj')",914,0.0457
"('pcomp', 'nsubj')",912,0.0456
"('prep', 'pobj', 'conj', 'det')",911,0.04555
"('appos', 'prep')",911,0.04555
"('prep', 'pcomp', 'prep')",905,0.04525
"('ccomp', 'xcomp')",897,0.04485
"('pobj', 'prep', 'pobj', 'prep')",896,0.0448
"('conj', 'dobj', 'prep', 'pobj')",890,0.0445
"('advcl', 'dobj', 'prep')",889,0.04445
"('prep', 'pcomp', 'nsubj')",888,0.0444
"('appos', 'compound')",885,0.04425
"('advcl', 'prep', 'pobj', 'prep')",885,0.04425
"('pcomp', 'prep', 'pobj')",882,0.0441
"('prep', 'pobj', 'relcl', 'aux')",871,0.04355
"('conj', 'prt')",868,0.0434
"('xcomp', 'advmod')",862,0.0431
"('advcl', 'dobj', 'prep', 'pobj')",859,0.04295
"('appos', 'prep', 'pobj')",857,0.04285
"('pobj', 'prep', 'pobj', 'conj')",855,0.04275
"('prep', 'pcomp', 'prep', 'pobj')",853,0.04265
"('attr', 'relcl')",852,0.0426
"('prep', 'punct')",841,0.04205
"('conj', 'dobj', 'poss')",839,0.04195
"('advcl', 'ccomp', 'nsubj')",837,0.04185
