ngram,doc_freq,doc_freq_ratio,doc_freq_diff
ation,2531,0.12655,0.37345
", b",2529,0.12645,0.37355
ed to,2527,0.12635,0.37365000000000004
 back,2526,0.1263,0.37370000000000003
th a ,2524,0.1262,0.3738
er,17479,0.87395,0.37395
ari,2519,0.12595,0.37405
hr,2517,0.12585,0.37415
d c,2511,0.12555,0.37445
",""",2511,0.12555,0.37445
the m,2508,0.1254,0.3746
e to ,2506,0.1253,0.37470000000000003
he d,2502,0.1251,0.3749
ever,2497,0.12485,0.37515
ead,2496,0.1248,0.3752
in a ,2492,0.1246,0.3754
 a c,2487,0.12435,0.37565
have ,2481,0.12405,0.37595
ple,2478,0.1239,0.3761
fu,2477,0.12385,0.37615
fl,2476,0.1238,0.3762
ight ,2471,0.12355,0.37645
she ,2471,0.12355,0.37645
y s,2471,0.12355,0.37645
now,2468,0.1234,0.3766
 sho,2466,0.1233,0.3767
ver ,2461,0.12305,0.37695
 ther,2461,0.12305,0.37695
s to,2460,0.123,0.377
ran,2457,0.12285,0.37715
sti,2450,0.1225,0.3775
 her ,2446,0.1223,0.3777
h th,2442,0.1221,0.3779
 te,2441,0.12205,0.37795
as a,2436,0.1218,0.3782
ace,2435,0.12175,0.37825
sed,2432,0.1216,0.3784
er t,2430,0.1215,0.3785
ons,2425,0.12125,0.37875000000000003
", the",2424,0.1212,0.3788
tw,2419,0.12095,0.37905
ort,2414,0.1207,0.37929999999999997
r h,2413,0.12065,0.37935
 ex,2409,0.12045,0.37955
pro,2407,0.12035,0.37965
the w,2407,0.12035,0.37965
ny,2402,0.1201,0.3799
ns ,2402,0.1201,0.3799
ed i,2399,0.11995,0.38005
t ,17601,0.88005,0.38005
t. ,2398,0.1199,0.3801
and s,2396,0.1198,0.3802
end,2395,0.11975,0.38025
ome ,2392,0.1196,0.3804
mu,2392,0.1196,0.3804
aid,2392,0.1196,0.3804
this ,2392,0.1196,0.3804
 all,2385,0.11925,0.38075000000000003
 en,2383,0.11915,0.38085
ood,2376,0.1188,0.3812
e and,2375,0.11875,0.38125
ook,2374,0.1187,0.3813
low,2366,0.1183,0.3817
y o,2364,0.1182,0.38180000000000003
y w,2361,0.11805,0.38195
a p,2358,0.1179,0.3821
tho,2354,0.1177,0.3823
 int,2354,0.1177,0.3823
t b,2353,0.11765,0.38234999999999997
the t,2344,0.1172,0.38280000000000003
of a,2343,0.11715,0.38285
hea,2336,0.1168,0.3832
 an ,2336,0.1168,0.3832
s p,2332,0.1166,0.3834
 w,17672,0.8836,0.38360000000000005
 cou,2327,0.11635,0.38365
ir ,2327,0.11635,0.38365
nk,2326,0.1163,0.3837
a w,2323,0.11615,0.38385
o h,2319,0.11595,0.38405
","" ",2318,0.1159,0.3841
che,2318,0.1159,0.3841
 of a,2317,0.11585,0.38415
on a,2315,0.11575,0.38425
led,2315,0.11575,0.38425
ned ,2310,0.1155,0.3845
gre,2308,0.1154,0.3846
nce ,2305,0.11525,0.38475
rie,2303,0.11515,0.38485
ile,2301,0.11505,0.38495
up ,2301,0.11505,0.38495
ed b,2299,0.11495,0.38505
hey,2292,0.1146,0.3854
wn ,2291,0.11455,0.38545
stan,2289,0.11445,0.38555
som,2286,0.1143,0.3857
 she ,2283,0.11415,0.38585
rl,2282,0.1141,0.3859
e st,2282,0.1141,0.3859
ass,2280,0.114,0.386
e ba,2278,0.1139,0.3861
nd h,2278,0.1139,0.3861
ust,2271,0.11355,0.38645
r o,2269,0.11345,0.38655
they,2269,0.11345,0.38655
 one,2268,0.1134,0.3866
ath,2267,0.11335,0.38665
o b,2260,0.113,0.387
 pla,2260,0.113,0.387
king ,2260,0.113,0.387
 this,2260,0.113,0.387
ment,2257,0.11285,0.38715
loo,2257,0.11285,0.38715
ose,2255,0.11275,0.38725
oi,2249,0.11245,0.38755
ite ,2249,0.11245,0.38755
 whe,2247,0.11235,0.38765
use,2246,0.1123,0.3877
t m,2246,0.1123,0.3877
grou,2245,0.11225,0.38775
par,2243,0.11215,0.38785000000000003
age,2243,0.11215,0.38785000000000003
over,2234,0.1117,0.3883
und ,2234,0.1117,0.3883
us ,2230,0.1115,0.3885
some,2226,0.1113,0.3887
app,2221,0.11105,0.38895
gl,2218,0.1109,0.3891
g o,2218,0.1109,0.3891
r w,2216,0.1108,0.3892
r i,2213,0.11065,0.38935
o s,2211,0.11055,0.38945
r the,2208,0.1104,0.3896
d n,2208,0.1104,0.3896
bi,2206,0.1103,0.3897
ty ,2206,0.1103,0.3897
 str,2205,0.11025,0.38975
ound ,2203,0.11015,0.38985000000000003
 dr,2201,0.11005,0.38995
ud,2200,0.11,0.39
lit,2199,0.10995,0.39005
af,2198,0.1099,0.3901
 ti,2197,0.10985,0.39015
"er,",2196,0.1098,0.3902
pre,2196,0.1098,0.3902
my ,2196,0.1098,0.3902
aw,2195,0.10975,0.39025
min,2194,0.1097,0.3903
e in ,2193,0.10965,0.39035
a l,2187,0.10935,0.39065
ake,2184,0.1092,0.3908
g a ,2181,0.10905,0.39095
lac,2180,0.109,0.391
sk,2180,0.109,0.391
hil,2177,0.10885,0.39115
wor,2176,0.1088,0.3912
were,2175,0.10875,0.39125
hey ,2173,0.10865,0.39135
ng a ,2173,0.10865,0.39135
e wi,2172,0.1086,0.39139999999999997
ins,2172,0.1086,0.39139999999999997
they ,2169,0.10845,0.39155
", wh",2169,0.10845,0.39155
hic,2169,0.10845,0.39155
t to,2168,0.1084,0.3916
d in ,2167,0.10835,0.39165
e was,2163,0.10815,0.39185000000000003
es a,2158,0.1079,0.3921
the r,2155,0.10775,0.39225
s m,2154,0.1077,0.3923
the l,2154,0.1077,0.3923
ng o,2153,0.10765,0.39235
ded,2153,0.10765,0.39235
own ,2152,0.1076,0.39239999999999997
h the,2150,0.1075,0.3925
s in ,2149,0.10745,0.39255
anc,2148,0.1074,0.3926
so ,2148,0.1074,0.3926
tre,2145,0.10725,0.39275
 my,2142,0.1071,0.3929
ur ,2142,0.1071,0.3929
nn,2137,0.10685,0.39315
sai,2132,0.1066,0.39339999999999997
r. ,2130,0.1065,0.3935
 ev,2126,0.1063,0.3937
ble ,2117,0.10585,0.39415
sed ,2115,0.10575,0.39425
cha,2112,0.1056,0.3944
ong,2109,0.10545,0.39455
rt ,2107,0.10535,0.39465
t an,2106,0.1053,0.3947
see,2106,0.1053,0.3947
ers ,2105,0.10525,0.39475
les,2105,0.10525,0.39475
thr,2104,0.1052,0.3948
er a,2104,0.1052,0.3948
 ri,2102,0.1051,0.39490000000000003
d an,2100,0.105,0.395
 sai,2095,0.10475,0.39525
ten,2094,0.1047,0.3953
s to ,2090,0.1045,0.3955
; ,2089,0.10445,0.39555
o a,2087,0.10435,0.39565
ich,2085,0.10425,0.39575
 pro,2076,0.1038,0.3962
a g,2075,0.10375,0.39625
nd w,2074,0.1037,0.3963
ing o,2069,0.10345,0.39655
va,2068,0.1034,0.3966
rd ,2067,0.10335,0.39665
sin,2067,0.10335,0.39665
 cr,2064,0.1032,0.3968
"er, ",2063,0.10315,0.39685
