ngram,doc_freq,doc_freq_ratio,doc_freq_diff
o ,13726,0.6863,0.18630000000000002
te,13732,0.6866,0.1866
hi,13733,0.68665,0.18664999999999998
bl,6227,0.31135,0.18864999999999998
 and ,13778,0.6889,0.18889999999999996
e c,6220,0.311,0.189
e i,6215,0.31075,0.18924999999999997
e b,6209,0.31045,0.18955
mi,6194,0.3097,0.19030000000000002
", and",6194,0.3097,0.19030000000000002
"e,",6185,0.30925,0.19074999999999998
 we,6177,0.30885,0.19115
ther,6176,0.3088,0.19119999999999998
ay,6175,0.30875,0.19124999999999998
his ,6151,0.30755,0.19245
nc,6118,0.3059,0.1941
ver,6112,0.3056,0.19440000000000002
g ,13893,0.69465,0.19465
to,13896,0.6948,0.19479999999999997
 and,13896,0.6948,0.19479999999999997
that,6080,0.304,0.196
ut ,6039,0.30195,0.19805
ed ,13974,0.6987,0.1987
ec,6022,0.3011,0.19890000000000002
e.,6003,0.30015,0.19985000000000003
 ca,5985,0.29925,0.20074999999999998
am,5970,0.2985,0.2015
or,14049,0.70245,0.20245000000000002
pl,5923,0.29615,0.20384999999999998
 for,5896,0.2948,0.2052
pa,5884,0.2942,0.20579999999999998
 no,5872,0.2936,0.20639999999999997
 it,5868,0.2934,0.2066
 that,5865,0.29325,0.20675
he s,5845,0.29225,0.20775
st,14165,0.70825,0.20825000000000005
 m,14169,0.70845,0.20845000000000002
t a,5826,0.2913,0.2087
gr,5813,0.29065,0.20934999999999998
tt,5796,0.2898,0.2102
"e, ",5794,0.2897,0.2103
st ,5787,0.28935,0.21065
ion,5783,0.28915,0.21084999999999998
em,5763,0.28815,0.21184999999999998
 se,5736,0.2868,0.2132
sa,5715,0.28575,0.21425
bu,5714,0.2857,0.2143
e h,5709,0.28545,0.21455000000000002
 f,14292,0.7146,0.2146
ear,5699,0.28495,0.21505000000000002
that ,5635,0.28175,0.21825
ni,5631,0.28155,0.21844999999999998
and ,14370,0.7185,0.21850000000000003
ba,5595,0.27975,0.22025
po,5595,0.27975,0.22025
f t,5595,0.27975,0.22025
 y,5591,0.27955,0.22044999999999998
 is,5588,0.2794,0.22060000000000002
ar,14419,0.72095,0.22094999999999998
ing,14435,0.72175,0.22175
it ,5545,0.27725,0.22275
w ,5544,0.2772,0.2228
os,5521,0.27605,0.22394999999999998
su,5512,0.2756,0.2244
was,5506,0.2753,0.2247
a ,14520,0.726,0.22599999999999998
 was,5470,0.2735,0.22649999999999998
"s,",5460,0.273,0.22699999999999998
s.,5441,0.27205,0.22794999999999999
ts,5439,0.27195,0.22804999999999997
 on ,5439,0.27195,0.22804999999999997
oun,5416,0.2708,0.22920000000000001
ve ,5396,0.2698,0.23020000000000002
me ,5359,0.26795,0.23204999999999998
nt ,5353,0.26765,0.23235
ht,5315,0.26575,0.23425
pr,5313,0.26565,0.23435
d i,5303,0.26515,0.23485
 li,5275,0.26375,0.23625000000000002
i ,5273,0.26365,0.23635
was ,5265,0.26325,0.23675000000000002
ght,5259,0.26295,0.23704999999999998
e f,5258,0.2629,0.23709999999999998
 was ,5246,0.2623,0.23770000000000002
en,14771,0.73855,0.23855000000000004
thi,5227,0.26135,0.23864999999999997
 is ,5226,0.2613,0.23870000000000002
s o,5208,0.2604,0.23959999999999998
d the,5203,0.26015,0.23985
ou,14807,0.74035,0.24034999999999995
 so,5192,0.2596,0.2404
t th,5178,0.2589,0.24109999999999998
f th,5167,0.25835,0.24164999999999998
fi,5148,0.2574,0.24259999999999998
of t,5148,0.2574,0.24259999999999998
"s, ",5147,0.25735,0.24264999999999998
 of t,5137,0.25685,0.24314999999999998
 wo,5137,0.25685,0.24314999999999998
av,5134,0.2567,0.24330000000000002
fe,5134,0.2567,0.24330000000000002
bo,5120,0.256,0.244
in t,5120,0.256,0.244
fr,5096,0.2548,0.24519999999999997
ct,5082,0.2541,0.2459
her ,5062,0.2531,0.2469
und,4967,0.24835,0.25165000000000004
e m,4954,0.2477,0.25229999999999997
d b,4927,0.24635,0.25365
" """,4925,0.24625,0.25375000000000003
t i,4906,0.2453,0.25470000000000004
ag,4882,0.2441,0.2559
t o,4881,0.24405,0.25595
e th,4870,0.2435,0.2565
 c,15137,0.75685,0.25685
ev,4849,0.24245,0.25755
of th,4849,0.24245,0.25755
d s,4848,0.2424,0.2576
 he ,4843,0.24215,0.25785
d h,4840,0.242,0.258
ere ,4836,0.2418,0.2582
red,4825,0.24125,0.25875000000000004
one,4823,0.24115,0.25885
ed,15179,0.75895,0.25895
ed t,4820,0.241,0.259
and,15185,0.75925,0.25925
e p,4802,0.2401,0.2599
 ba,4797,0.23985,0.26015
nd t,4793,0.23965,0.26034999999999997
are,4792,0.2396,0.26039999999999996
ry,4790,0.2395,0.2605
 an,15221,0.76105,0.26105
nd ,15239,0.76195,0.26195
in th,4744,0.2372,0.26280000000000003
 ar,4740,0.237,0.263
igh,4738,0.2369,0.2631
yo,4738,0.2369,0.2631
 fr,4727,0.23635,0.26365
ap,4717,0.23585,0.26415
rou,4710,0.2355,0.2645
at,15294,0.7647,0.26470000000000005
 in t,4704,0.2352,0.26480000000000004
 h,15296,0.7648,0.26480000000000004
y ,15296,0.7648,0.26480000000000004
op,4703,0.23515,0.26485000000000003
ld ,4703,0.23515,0.26485000000000003
 do,4703,0.23515,0.26485000000000003
f the,4696,0.2348,0.2652
vi,4695,0.23475,0.26525
 bu,4695,0.23475,0.26525
the s,4690,0.2345,0.2655
 at,4684,0.2342,0.26580000000000004
man,4672,0.2336,0.26639999999999997
ad ,4669,0.23345,0.26655
 sa,4662,0.2331,0.2669
 the ,15343,0.76715,0.26715
 mo,4651,0.23255,0.26744999999999997
ce ,4636,0.2318,0.2682
tio,4632,0.2316,0.26839999999999997
rd,4630,0.2315,0.26849999999999996
 al,4621,0.23105,0.26895
 me,4612,0.2306,0.2694
sta,4609,0.23045,0.26955
it,15393,0.76965,0.26964999999999995
tion,4581,0.22905,0.27095
ne ,4575,0.22875,0.27125
ers,4566,0.2283,0.2717
whi,4565,0.22825,0.27175
", w",4565,0.22825,0.27175
ate,4555,0.22775,0.27225
tu,4531,0.22655,0.27344999999999997
 de,4524,0.2262,0.2738
s s,4523,0.22615,0.27385000000000004
 as,4523,0.22615,0.27385000000000004
s i,4522,0.2261,0.27390000000000003
 v,4519,0.22595,0.27405
""" ",4501,0.22505,0.27495
r t,4494,0.2247,0.2753
hin,4488,0.2244,0.2756
 lo,4484,0.2242,0.2758
t w,4480,0.224,0.276
out,4475,0.22375,0.27625
s w,4473,0.22365,0.27635
 su,4459,0.22295,0.27705
up,4431,0.22155,0.27845
ome,4427,0.22135,0.27865
ted,4419,0.22095,0.27905
p ,4417,0.22085,0.27915
 his,4410,0.2205,0.27949999999999997
