word,conc
a,0.10606060606060605
aardvark,0.9191919191919191
aback,0.154040404040404
abacus,0.8787878787878787
abandon,0.3787878787878788
abandoned,0.37373737373737376
abandonee,0.47474747474747475
abandoner,0.3686868686868687
abandonment,0.3787878787878788
abasement,0.15909090909090906
abatement,0.2222222222222222
abbreviate,0.3914141414141414
abbreviated,0.5202020202020202
abbreviation,0.5126262626262625
abdicate,0.26262626262626265
abdomen,0.9242424242424243
abdominal,0.8181818181818182
abdominally,0.5328282828282828
abduct,0.46464646464646464
abductee,0.5631313131313131
abduction,0.5126262626262625
abductor,0.7196969696969697
abhor,0.19444444444444445
abhorrence,0.2803030303030303
abhorrently,0.25252525252525254
abhorring,0.1616161616161616
abide,0.1616161616161616
abiding,0.26010101010101006
abidingly,0.196969696969697
ability,0.19444444444444445
abject,0.15909090909090906
ablaze,0.702020202020202
able,0.33838383838383834
ably,0.18686868686868688
abnormal,0.2777777777777778
abnormality,0.36363636363636365
abnormally,0.17929292929292928
aboard,0.73989898989899
abode,0.7272727272727273
abolish,0.2904040404040404
abolishable,0.23232323232323232
abolisher,0.31565656565656564
abolishment,0.3207070707070707
abolition,0.35101010101010105
abolitionism,0.2070707070707071
abolitionist,0.5656565656565656
abominable,0.2146464646464646
abominableness,0.13636363636363638
abominably,0.2777777777777778
abominate,0.1616161616161616
abomination,0.3005050505050505
aboriginal,0.5252525252525253
abort,0.45202020202020204
aborted,0.45202020202020204
abortion,0.5984848484848485
abortionist,0.5429292929292929
abortive,0.2121212121212121
abortively,0.22979797979797978
abound,0.3106060606060606
abounding,0.25252525252525254
about,0.18434343434343434
above,0.5782828282828283
aboveboard,0.4444444444444444
aboveground,0.7550505050505051
abovementioned,0.48484848484848486
abrasion,0.8914141414141414
abrasive,0.5025252525252525
abrasively,0.26010101010101006
abrasiveness,0.4242424242424243
abreast,0.3005050505050505
abridge,0.43686868686868685
abridged,0.18434343434343434
abridgment,0.4116161616161616
abroad,0.4242424242424243
abrupt,0.3106060606060606
abruptly,0.3333333333333333
abruptness,0.25252525252525254
abscess,0.8686868686868688
abscessed,0.41666666666666663
absence,0.3207070707070707
absent,0.4191919191919192
absentee,0.5681818181818182
absenteeism,0.33080808080808083
absently,0.16919191919191917
absentminded,0.24242424242424243
absentmindedly,0.18181818181818182
absentmindedness,0.17929292929292928
absentness,0.2121212121212121
absinthe,0.8232323232323232
absolute,0.19444444444444445
absolutely,0.23484848484848483
absoluteness,0.11616161616161616
absolution,0.18686868686868688
absolutism,0.10606060606060605
absolutist,0.4191919191919192
absolvable,0.19191919191919193
absolve,0.20454545454545456
absorb,0.5227272727272727
absorbability,0.33838383838383834
absorbable,0.36111111111111116
absorbed,0.35353535353535354
absorbency,0.4873737373737374
absorbent,0.5202020202020202
absorber,0.48484848484848486
absorbing,0.5782828282828283
absorbingly,0.25252525252525254
absorption,0.5505050505050505
absorptiveness,0.2904040404040404
abstain,0.33838383838383834
abstainer,0.398989898989899
abstention,0.2828282828282829
abstinence,0.1717171717171717
abstinent,0.18434343434343434
abstinently,0.24242424242424243
abstract,0.10353535353535352
abstracted,0.1111111111111111
abstractedly,0.12626262626262627
abstractedness,0.1388888888888889
