expression,conc,n_words
coffee maker,1.0,2
coffee mill,0.825,2
coffee morning,0.725,2
coffee mug,0.3314393939393939,2
coffee name,0.475,2
coffee pot,0.8371212121212122,2
coffee ring,0.8500000000000001,2
coffee shop,0.6575757575757577,2
coffee spoon,0.9772727272727273,2
coffee stall,0.8500000000000001,2
coffee store,0.8,2
coffee substitute,0.8500000000000001,2
coffee table,0.8737373737373737,2
coffee table book,0.8636363636363635,3
coffee talk,0.475,2
coffee tree,0.7749999999999999,2
coffee urn,0.925,2
coffee-table book,0.7727272727272727,2
coffin nail,0.825,2
cog in the machine,0.25,4
cogent evidence,0.5,2
cognate word,0.30000000000000004,2
cognitive behavioral therapy,0.475,3
cognitive factor,0.32499999999999996,2
cognitive neuroscience,0.55,2
cognitive neuroscientist,0.7083333333333334,2
cognitive process,0.36111111111111116,2
cognitive science,0.5,2
cognitive therapy,0.375,2
cognovit note,0.32499999999999996,2
coil spring,0.7272727272727273,2
coil up,0.36363636363636365,2
coin a phrase,0.25,3
coin bank,0.925,2
coin box,0.7749999999999999,2
coin collecting,0.575,2
coin collection,0.95,2
coin collector,0.7749999999999999,2
coin dispenser,0.95,2
coin machine,1.0,2
coin slot,0.8500000000000001,2
coitus interruptus,0.575,2
coke machine,0.8636363636363635,2
cold air,0.65,2
cold and hot,0.6,3
cold as a wagon tire,0.35,5
cold as any stone,0.175,4
cold as ice,0.4642857142857143,3
cold blood,0.25,2
cold blooded,0.6779040404040404,2
cold bloodedness,0.35,2
cold call,0.625,2
cold calling,0.32499999999999996,2
cold calls,0.42500000000000004,2
cold cash,0.55,2
cold cathode,0.65,2
cold cereal,0.7749999999999999,2
cold chisel,0.6,2
cold cock,0.47916666666666663,2
cold comfort,0.42500000000000004,2
cold cream,0.8055555555555556,2
cold cuts,0.625,2
cold day in hell,0.13636363636363635,4
cold day in july,0.40909090909090895,4
cold deck,0.5,2
cold duck,0.5227272727272727,2
cold enough to freeze the balls off a brass monkey,0.06818181818181818,10
cold feet,0.6176767676767676,2
cold fish,0.4,2
cold frame,0.6136363636363636,2
cold front,0.55,2
cold fusion,0.35,2
cold gangrene,0.6,2
"cold hands, warm heart",0.2,4
cold hard cash,0.675,3
cold hearted,0.22499999999999998,2
cold light of day,0.30000000000000004,4
cold might,0.30000000000000004,2
cold one,0.25,2
cold open,0.22499999999999998,2
cold read,0.25,2
cold reading,0.375,2
cold scent,0.42500000000000004,2
cold shoulder,0.13636363636363635,2
cold sleep,0.2954545454545454,2
cold snap,0.5629370629370629,2
cold sober,0.30000000000000004,2
cold sore,0.670770202020202,2
cold spell,0.9330808080808082,2
cold spots,0.65,2
cold storage,0.6,2
cold store,0.625,2
cold sweat,0.3512626262626263,2
cold turkey,0.3582070707070707,2
cold war,0.4545454545454546,2
cold warrior,0.44999999999999996,2
cold water,0.95,2
cold wave,0.55,2
cold weather,0.7,2
cold wind,0.825,2
cold winter,0.8999999999999999,2
cold-blooded,0.30000000000000004,1
cold-hearted,0.2692307692307693,1
"cold, hard cash",0.44999999999999996,3
colder than a witch's tit,0.09999999999999998,5
colic vein,0.75,2
collaborate with,0.22499999999999998,2
collage film,0.659090909090909,2
collagen implant,0.75,2
collagen injection,0.65,2
collapsible door,0.7,2
collar bone,0.875,2
collard greens,0.9558823529411764,2
collared anteater,0.75,2
collateral damage,0.3088235294117647,2
collateral fraud,0.3076923076923077,2
collect call,0.4,2
collect dust,0.55,2
collect my thoughts,0.30000000000000004,3
collect one's thoughts,0.43181818181818177,3
collect up,0.525,2
collecting dust,0.6136363636363636,2
collecting flask,0.6,2
collection agency,0.5694444444444444,2
collection box,0.8967171717171717,2
collection plate,0.75,2
collective agreement,0.4772727272727273,2
collective bargaining,0.30000000000000004,2
collective call sign,0.525,3
collective farm,0.475,2
collective noun,0.5454545454545454,2
collective security,0.44999999999999996,2
collective unconscious,0.2727272727272727,2
collector item,0.7749999999999999,2
collector's item,0.6,2
college boy,0.8863636363636365,2
college degree,0.8863636363636365,2
college girl,0.9750000000000001,2
college student,0.5256313131313132,2
collegiate institute,0.725,2
collide with,0.625,2
collision course,0.6136363636363636,2
collision damage waiver,0.4772727272727273,3
collocate with,0.47916666666666663,2
colloidal solution,0.675,2
collude with someone,0.35,3
colobus monkey,0.8999999999999999,2
cologne water,0.825,2
colon cancer,0.8999999999999999,2
colon distention,0.8,2
colonic irrigation,0.75,2
colony collapse disorder,0.43181818181818177,3
color bar,0.8,2
color barrier,0.44999999999999996,2
color bearer,0.55,2
color blindness,0.55,2
color by number,0.675,3
color chart,0.6,2
color circle,0.75,2
color code,0.8214285714285714,2
color constancy,0.575,2
color fade,0.675,2
color fast,0.35,2
color force,0.4375,2
color guard,0.65,2
color in,0.575,2
color line,0.6818181818181818,2
color of law,0.34090909090909105,3
color outside the lines,0.32499999999999996,4
color prejudice,0.475,2
color scheme,0.725,2
color separation,0.7,2
color spectrum,0.725,2
color supplement,0.55,2
color swatch,0.75,2
color television,0.8500000000000001,2
color triangle,0.5681818181818182,2
color tube,0.75,2
color tv,0.8999999999999999,2
color tv tube,0.95,3
color up,0.44999999999999996,2
color vision,0.7727272727272727,2
color vision deficiency,0.5,3
color wash,0.659090909090909,2
color wheel,0.3335858585858586,2
color-blind person,0.6,2
colorado beetle,0.9705882352941178,2
colorado potato beetle,0.925,3
colorado spruce,0.95,2
colored hearing,0.38636363636363635,2
colored pencil,0.875,2
colored pencils,0.875,2
colorimetric analysis,0.525,2
coloring book,0.9750000000000001,2
coloring material,0.8,2
coloring set,0.8500000000000001,2
colostomy bag,0.8,2
columbinic acid,0.825,2
Columbus Day,0.475,2
column inch,0.475,2
column radiator,0.8409090909090908,2
column space,0.625,2
comb out,0.575,2
comb over,0.675,2
comb through,0.65,2
comb-footed spider,0.95,2
combat area,0.65,2
combat boot,0.825,2
combat casualty,0.4,2
combat fatigue,0.5,2
combat fatigues,0.7727272727272727,2
combat gear,0.9210526315789473,2
combat intelligence,0.375,2
combat mission,0.659090909090909,2
combat pay,0.18181818181818182,2
combat pilot,0.7749999999999999,2
combat ship,0.725,2
combat trousers,0.825,2
combat zone,0.45997474747474754,2
combi deck,0.5833333333333333,2
combination lock,0.9625,2
combination padlock,0.8500000000000001,2
combination salad,0.9375,2
combination therapy,0.275,2
combine harvester,0.7,2
combined cycle,0.175,2
combined operation,0.35,2
combing ridge,0.55,2
combining form,0.42500000000000004,2
combining weight,0.42500000000000004,2
combo cabinet,0.875,2
combustible material,0.8500000000000001,2
combustion chamber,0.7,2
combustion engine,0.925,2
come a long way,0.4,4
come about,0.26315789473684215,2
come across,0.9772727272727273,2
come across as,0.17307692307692307,3
come across with,0.15000000000000002,3
come after,0.275,2
come again,0.32499999999999996,2
come alive,0.38636363636363635,2
come along,0.9962121212121211,2
come and go,0.375,3
come apart,0.5,2
come apart at the seams,0.42500000000000004,5
come around,0.4027777777777778,2
come around to,0.20454545454545447,3
come as,0.25,2
come at,0.5,2
come at a price,0.04999999999999999,4
come away,0.43181818181818177,2
come away from,0.3529411764705882,3
come away with,0.475,3
come back,0.525,2
come back at,0.30000000000000004,3
come back to,0.44999999999999996,3
come back to haunt you,0.25,5
come back with,0.44999999999999996,3
come before,0.25,2
come between,0.36363636363636365,2
come by,0.35526315789473695,2
come by something,0.32894736842105265,3
come by something honestly,0.30000000000000004,4
come clean,0.20833333333333331,2
come close,0.901010101010101,2
come down,0.7362373737373737,2
come down from,0.30000000000000004,3
come down hard,0.125,3
come down hard on someone,0.175,5
come down off your high horse,0.2,6
come down on,0.2,3
come down the pike,0.18181818181818182,4
come down to,0.2954545454545454,3
come down to earth,0.26388888888888895,4
come down to us,0.25,4
come down upon,0.390625,3
come down with,0.2,3
come first,0.4375,2
come for,0.25,2
come for a visit,0.6,4
come forth,0.8569444444444444,2
come forth with,0.35,3
come forward,0.7037878787878789,2
come from,0.32499999999999996,2
come from behind,0.475,3
come from far and wide,0.30000000000000004,5
come full circle,0.375,3
come hell or high water,0.15000000000000002,5
come home,0.40909090909090895,2
come home to,0.5227272727272727,3
come home to roost,0.4,4
come in,0.4545454545454546,2
come in all shapes and sizes,0.35,6
come in at,0.4,3
come in for,0.275,3
come in from the cold,0.5,5
come in handy,0.22499999999999998,3
come in on,0.375,3
come in town,0.625,3
come in under,0.44999999999999996,3
come in words,0.15000000000000002,3
come into,0.22499999999999998,2
come into being,0.275,3
come into circulation,0.25,3
come into effect,0.32499999999999996,3
come into force,0.32499999999999996,3
come into one's own,0.07500000000000001,4
come into play,0.2,3
come into print,0.40909090909090895,3
come into use,0.2,3
come into your own,0.375,4
come naturally,0.575,2
come near,0.475,2
come of,0.22499999999999998,2
come of age,0.4,3
come off,0.22499999999999998,2
come off it,0.20454545454545447,3
come off the bones,0.44999999999999996,4
come on,0.22499999999999998,2
come on down,0.275,3
come on over,0.25,3
come on strong,0.30000000000000004,3
come on to,0.175,3
come online,0.675,2
come out,0.4,2
come out at,0.25,3
come out in,0.32499999999999996,3
come out in the wash,0.35,5
come out of,0.375,3
come out of one's shell,0.22727272727272718,5
come out of the ark,0.36363636363636365,5
come out of the closet,0.30000000000000004,5
come out of the woodwork,0.42500000000000004,5
come out of your shell,0.375,5
come out on top,0.34090909090909105,4
come out swinging,0.32499999999999996,3
come out with,0.44999999999999996,3
come over,0.8623737373737375,2
come over budget,0.18181818181818182,3
come over from,0.590909090909091,3
come over to,0.4772727272727273,3
come rain or shine,0.175,4
come round,0.375,2
come round to,0.175,3
come short,0.15000000000000002,2
come straight to the point,0.275,5
come thick and fast,0.22499999999999998,4
come through,0.42500000000000004,2
come through with,0.38636363636363635,3
come to,0.35,2
come to a bad end,0.22916666666666669,5
come to a close,0.22727272727272718,4
come to a crossroads,0.375,4
come to a full stop,0.675,5
come to a grinding halt,0.42500000000000004,5
come to a halt,0.5,4
come to a head,0.42500000000000004,4
come to an end,0.35,4
come to an untimely end,0.44999999999999996,5
come to attention,0.5,3
come to blows,0.4,3
come to fruition,0.22499999999999998,3
come to grief,0.275,3
come to grips,0.15000000000000002,3
come to grips with,0.07500000000000001,4
come to hand,0.2,3
come to heel,0.22727272727272718,3
come to jesus,0.22727272727272718,3
come to life,0.35,3
come to light,0.15000000000000002,3
come to mention it,0.07500000000000001,4
come to mind,0.21875,3
come to naught,0.09999999999999998,3
come to no good,0.13636363636363635,4
come to nothing,0.15000000000000002,3
come to nought,0.2,3
come to one's senses,0.09999999999999998,4
come to oneself,0.14583333333333331,3
come to order,0.42500000000000004,3
come to papa,0.30000000000000004,3
come to pass,0.31818181818181823,3
come to power,0.375,3
come to somebody's aid,0.5681818181818182,4
come to someone's rescue,0.5,4
come to terms,0.18181818181818182,3
come to terms with,0.30000000000000004,4
come to the conclusion,0.5,4
come to the crunch,0.30000000000000004,4
come to the fore,0.30000000000000004,4
come to the party,0.35,4
come to the point,0.2727272727272727,4
come to think of it,0.34090909090909105,5
come to understanding,0.4305555555555556,3
come to your senses,0.15909090909090912,4
come together,0.957961972667855,2
come true,0.42500000000000004,2
come under,0.2,2
come under fire,0.575,3
come undone,0.3421052631578947,2
come unglued,0.15000000000000002,2
come unhinged,0.2,2
come unstuck,0.32499999999999996,2
come up,0.32499999999999996,2
come up against,0.4,3
come up for,0.34090909090909105,3
come up from,0.32499999999999996,3
come up in the world,0.22499999999999998,5
come up roses,0.15000000000000002,3
come up short,0.575,3
come up smelling like roses,0.4,5
come up to,0.5,3
come up trumps,0.35,3
come up with,0.125,3
come upon,0.30000000000000004,2
come what come may,0.16666666666666669,4
come what may,0.175,3
come with,0.34090909090909105,2
come with the territory,0.30000000000000004,4
come your way,0.25,3
come-hither look,0.32499999999999996,2
come-on,0.2,1
come-on line,0.4,2
come-to-jesus,0.125,1
comeback kid,0.35,2
comedy ballet,0.675,2
comedy of errors,0.15000000000000002,3
comedy of manners,0.26315789473684215,3
comes to light,0.38636363636363635,3
comes to the crunch,0.1607142857142857,4
comes with the territory,0.35,4
comfort break,0.375,2
comfort food,0.8973484848484848,2
comfort girl,0.590909090909091,2
comfort station,0.44999999999999996,2
comfort stop,0.5,2
comfort woman,0.475,2
comfort women,0.44999999999999996,2
comfort zone,0.7311868686868687,2
comfortable in one's own skin,0.25,5
comfortably off,0.36363636363636365,2
comfy chair,0.8529411764705883,2
comic book,0.3724747474747475,2
comic opera,0.5972222222222222,2
comic relief,0.25,2
comic strip,0.9299574694311536,2
comic strip character,0.7272727272727273,3
comic strips,0.8500000000000001,2
coming in on a wing and a prayer,0.22499999999999998,8
coming of age,0.32499999999999996,3
coming out of one's ears,0.375,5
coming out of our ears,0.04999999999999999,5
coming out of the closet,0.30000000000000004,5
coming out of your yin yang,0.125,6
coming to terms,0.23076923076923078,3
coming together,0.6346153846153846,2
coming up roses,0.35,3
coming upon,0.44999999999999996,2
comings and goings,0.20454545454545447,3
command economy,0.30000000000000004,2
command key,0.6785714285714284,2
command language,0.525,2
command line,0.525,2
command module,0.675,2
command performance,0.4,2
command post,0.75,2
command prompt,0.6,2
command respect,0.275,2
commander in chief,0.625,3
commanding officer,0.8,2
commanding position,0.34090909090909105,2
commanding view,0.375,2
commedia dell'arte,0.2954545454545454,2
commencement day,0.5227272727272727,2
commencement exercise,0.4,2
comment on,0.47916666666666663,2
commentary box,0.8181818181818181,2
commerce raider,0.5,2
commerce secretary,0.7749999999999999,2
commercial agency,0.8500000000000001,2
commercial art,0.7749999999999999,2
commercial at,0.525,2
commercial bank,0.8374999999999999,2
commercial break,0.725,2
commercial credit,0.42500000000000004,2
commercial credit company,0.625,3
commercial enterprise,0.590909090909091,2
commercial instrument,0.75,2
commercial law,0.42500000000000004,2
commercial loan,0.5227272727272727,2
commercial paper,0.8,2
commercial radio,0.65,2
commercial television,0.609375,2
commercial traveler,0.35,2
commercial traveller,0.625,2
commercial treaty,0.5,2
commission on civil rights,0.725,4
commissioned officer,0.725,2
commissioner for oaths,0.525,3
commit a crime,0.6363636363636364,3
commit a mistake,0.43181818181818177,3
commit a murder,0.675,3
commit offence,0.22499999999999998,2
commit oneself,0.5,2
commit robbery,0.6,2
commit sin,0.5,2
commit suicide,0.65,2
commit theft,0.7749999999999999,2
commit to memory,0.32499999999999996,3
commitment ceremony,0.625,2
committal to writing,0.43333333333333335,3
committed,0.42500000000000004,1
committee member,0.8,2
commodities exchange,0.42500000000000004,2
commodities market,0.55,2
common agricultural policy,0.6,3
common arrowhead,0.6818181818181818,2
common ax,0.675,2
common bamboo,0.8999999999999999,2
common barley,0.8500000000000001,2
common box,0.65,2
common broom,0.875,2
common carotid artery,0.7954545454545454,3
common carrier,0.55,2
common cause,0.32499999999999996,2
common chord,0.525,2
common cold,0.9431818181818182,2
common courtesy,0.175,2
common crossing,0.45833333333333326,2
common currency,0.55,2
common daisy,0.75,2
common dandelion,0.8409090909090908,2
common denominator,0.961111111111111,2
common divisor,0.2,2
common elder,0.475,2
common era,0.4,2
common factor,0.175,2
common fate,0.32499999999999996,2
common fault,0.175,2
common fennel,0.75,2
common fraction,0.4,2
common gateway interface,0.55,3
common glowworm,0.725,2
common good,0.8782828282828283,2
common ground,0.9486111111111111,2
common heath,0.43181818181818177,2
common knowledge,0.375,2
common lady-slipper,0.4,2
common land,0.475,2
common law,0.8876262626262625,2
common lettuce,0.875,2
common logarithm,0.4772727272727273,2
common mackerel,0.725,2
common man,0.375,2
common market,0.725,2
common measure,0.30000000000000004,2
common meter,0.7,2
common misconception,0.175,2
common mood,0.42500000000000004,2
common multiple,0.475,2
common myrtle,0.725,2
common name,0.625,2
common newt,0.75,2
common noun,0.42500000000000004,2
common nuisance,0.43181818181818177,2
common or garden variety,0.375,4
common people,0.7165404040404041,2
common person,0.5454545454545454,2
common pleas,0.275,2
common privet,0.525,2
common raccoon,0.875,2
common rat,0.8,2
common ringlet,0.4,2
common room,0.6447368421052632,2
common rush,0.42500000000000004,2
common sage,0.575,2
common salt,0.7857142857142858,2
common seal,0.675,2
common sense,0.8901515151515151,2
common soldier,0.8,2
common stock,0.2954545454545454,2
common thread,0.25,2
common touch,0.375,2
common wart,0.575,2
common wasp,0.825,2
common wheat,0.875,2
common woodpigeon,0.8,2
common year,0.40909090909090895,2
common yellow woodsorrel,0.8,3
common-law husband,0.75,2
common-law wife,0.5,2
commonplace book,0.5833333333333333,2
commonwealth games,0.55,2
commonwealth of nations,0.5227272727272727,3
commune with,0.35,2
communicable disease,0.575,2
communication channel,0.55,2
communication cord,0.8500000000000001,2
communication system,0.7045454545454544,2
communication trench,0.5227272727272727,2
communications satellite,0.8999999999999999,2
communications software,0.675,2
communicative approach,0.42500000000000004,2
communicative competence,0.25,2
communicative language teaching,0.65,3
communist party,0.525,2
Communist Party of China,0.659090909090909,4
community care,0.4,2
community center,0.4265873015873016,2
community chest,0.42500000000000004,2
community chest card,0.75,3
community college,0.8125,2
community garden,0.8125,2
community language learning,0.475,3
community of interest,0.30000000000000004,3
community policing,0.42500000000000004,2
community property,0.55,2
community school,0.8409090909090908,2
community service,0.8041666666666666,2
community spirit,0.22499999999999998,2
community theater,0.725,2
commuter belt,0.475,2
commuter traffic,0.8,2
commuter train,0.8999999999999999,2
comp time,0.484375,2
compact blusher,0.7692307692307692,2
compact car,0.825,2
compact disc,0.8999999999999999,2
compact disc player,0.8500000000000001,3
compact disk,0.8999999999999999,2
compact space,0.525,2
compact-disk burner,0.8500000000000001,2
companion animal,0.625,2
companion dog,0.7749999999999999,2
company car,0.825,2
company clinic,0.7749999999999999,2
company director,0.65,2
company law,0.675,2
company man,0.5454545454545454,2
company name,0.6,2
company operator,0.75,2
company report,0.8409090909090908,2
company secretary,0.6,2
company store,0.8999999999999999,2
company town,0.525,2
comparable function,0.42500000000000004,2
comparable to,0.5,2
comparable with,0.375,2
comparative degree,0.575,2
comparative literature,0.5,2
compare notes,0.575,2
compare to,0.375,2
compare with,0.40909090909090895,2
comparison shop,0.475,2
comparison shopping,0.5,2
comparisons are odious,0.175,3
compartment sink,0.825,2
compass card,0.65,2
compass deflection,0.5,2
compass plane,0.65,2
compass point,0.7272727272727273,2
compass saw,0.725,2
compassion fatigue,0.375,2
compassionate grounds,0.36363636363636365,2
compassionate leave,0.5227272727272727,2
compensating balance,0.35,2
compensation culture,0.30000000000000004,2
compensatory damages,0.2727272727272727,2
compensatory lengthening,0.375,2
competitive eating,0.725,2
compiling program,0.375,2
complain of,0.40909090909090895,2
complementary angle,0.5384615384615384,2
complementary angles,0.6,2
complementary color,0.525,2
complementary dna,0.5,2
complementary medicine,0.7272727272727273,2
complete blood count,0.5,3
complete fracture,0.65,2
complete shambles,0.2954545454545454,2
complete with,0.25,2
complex conjugate,0.22499999999999998,2
complex fraction,0.675,2
complex number,0.55,2
complex plane,0.65,2
complex quantity,0.30000000000000004,2
complex sentence,0.42500000000000004,2
compliment on,0.38636363636363635,2
compliment slip,0.5357142857142857,2
complimentary close,0.2727272727272727,2
comply with,0.5416666666666666,2
component part,0.8,2
componential analysis,0.42500000000000004,2
compose oneself,0.375,2
composing stick,0.8,2
composite built,0.31818181818181823,2
composite material,0.7,2
composite number,0.42500000000000004,2
composite order,0.625,2
composite plant,0.6818181818181818,2
composite school,0.6607142857142857,2
composite sketch,0.8409090909090908,2
composition board,0.875,2
composition book,0.8,2
compost bin,1.0,2
compost heap,0.4643550893550894,2
compost pile,0.75,2
compound eye,0.7,2
compound fraction,0.6470588235294118,2
compound fracture,0.725,2
compound home,0.625,2
compound interest,0.22499999999999998,2
compound leaf,0.8500000000000001,2
compound lens,0.7749999999999999,2
compound machine,0.7045454545454544,2
compound microscope,0.825,2
compound pendulum,0.75,2
compound pistil,0.6833333333333332,2
compound sentence,0.44999999999999996,2
compound wall,0.7,2
compound word,0.625,2
comprehensive insurance,0.4545454545454546,2
comprehensive school,0.44999999999999996,2
compressed air,0.925,2
compressed gas,0.7727272727272727,2
compression bandage,0.925,2
compression chamber,0.8,2
compromise rules,0.32499999999999996,2
compulsive reading,0.42500000000000004,2
compulsive viewing,0.36363636363636365,2
compulsory process,0.4,2
compulsory purchase,0.375,2
computability theory,0.11538461538461542,2
computational linguistics,0.65,2
computational model,0.575,2
computer address,0.55,2
computer age,0.44999999999999996,2
computer backup,0.6875,2
computer business,0.675,2
computer chip,0.8999999999999999,2
computer circuit,0.7727272727272727,2
computer code,0.675,2
computer company,0.7749999999999999,2
computer crime,0.42500000000000004,2
computer database,0.825,2
computer dating,0.525,2
computer dealer,0.825,2
computer display,0.8409090909090908,2
computer expert,0.725,2
computer file,0.8636363636363635,2
computer game,0.8039141414141413,2
computer geek,0.75,2
computer graphic,0.7045454545454544,2
computer graphics,0.7,2
computer hacker,0.675,2
computer hacking,0.6363636363636364,2
computer hardware,0.95,2
computer industry,0.34090909090909105,2
computer keyboard,0.8999999999999999,2
computer language,0.575,2
computer literacy,0.5208333333333333,2
computer memory,0.6,2
computer menu,0.8125,2
computer modeling,0.525,2
computer modelling,0.575,2
computer monitor,0.8,2
computer mouse,0.6205808080808081,2
computer network,0.7272727272727273,2
computer operator,0.8,2
computer paper,0.9545454545454546,2
computer parts,0.8500000000000001,2
computer peripheral,0.7045454545454544,2
computer person,0.7272727272727273,2
computer printer,0.9318181818181821,2
computer program,0.4081439393939394,2
computer programmer,0.5609848484848485,2
computer programming,0.5,2
computer salesman,0.75,2
computer science,0.6136363636363636,2
computer scientist,0.575,2
computer screen,0.5568181818181818,2
computer simulation,0.625,2
computer software,0.5,2
computer storage,0.875,2
computer store,0.2556818181818181,2
computer system,0.61010101010101,2
computer table,0.8500000000000001,2
computer tablet,0.8500000000000001,2
computer technology,0.8,2
computer user,0.659090909090909,2
computer virus,0.8434343434343434,2
computer-aided design,0.5416666666666666,2
computer-aided manufacturing,0.375,2
computer-generated imagery,0.65,2
computing device,0.925,2
computing language,0.573529411764706,2
computing machine,0.875,2
computing system,0.7,2
comrade in arms,0.5625,3
con amore,0.175,2
con artist,0.75,2
con game,0.275,2
con man,0.575,2
con trick,0.3088235294117647,2
con woman,0.375,2
concave lens,0.90625,2
concave polygon,0.590909090909091,2
conceive of,0.2,2
concentrate on,0.44999999999999996,2
concentration camp,0.7,2
concentration gradient,0.575,2
concept album,0.7,2
concept map,0.6818181818181818,2
concept statement,0.22499999999999998,2
conceptual art,0.40909090909090895,2
concerned with,0.2727272727272727,2
concert band,0.7,2
concert grand,0.8,2
concert hall,0.48762626262626263,2
concert piano,0.875,2
concert pitch,0.5,2
concerted music,0.590909090909091,2
concerto grosso,0.475,2
concession stand,0.825,2
concessions stand,0.825,2
concessive clause,0.5,2
conch fritters,0.8999999999999999,2
conch shell,0.9090909090909092,2
concrete block,0.9750000000000001,2
concrete canyon,0.5,2
concrete divider,0.8500000000000001,2
concrete fact,0.725,2
concrete floor,0.9444444444444444,2
concrete jungle,0.525,2
concrete mixer,0.875,2
concrete noun,0.7,2
concrete over,0.44999999999999996,2
concrete overcoat,0.575,2
concrete poetry,0.6,2
concrete slab,0.9473684210526319,2
condemned cell,0.7,2
condensation pump,0.95,2
condensation trail,0.7272727272727273,2
condensed milk,0.875,2
condition precedent,0.22499999999999998,2
conditional discharge,0.275,2
conditional probability,0.35416666666666663,2
conditional reaction,0.36363636363636365,2
conditional response,0.30000000000000004,2
conditional sentence,0.2727272727272727,2
conditioned reaction,0.4772727272727273,2
conditioned reflex,0.6,2
conditioned response,0.2,2
conditioned stimulus,0.575,2
condole with,0.3846153846153846,2
condolence card,0.875,2
condom wrapper,0.8500000000000001,2
conduct a research,0.625,3
conducted tour,0.6,2
conducting wire,0.8500000000000001,2
conduction aphasia,0.5,2
conduction deafness,0.4,2
conductive hearing loss,0.6730769230769232,3
conductive pen,0.8289473684210527,2
cone cell,0.6071428571428571,2
cone off,0.44999999999999996,2
cone pepper,0.6,2
cone shape,0.7727272727272727,2
coney island,0.8999999999999999,2
confectioner's sugar,0.8999999999999999,2
confectioners' sugar,0.825,2
confederate army,0.8500000000000001,2
confederate flag,0.8999999999999999,2
confederate soldier,0.825,2
Confederate States,0.675,2
Confederate States of America,0.5,4
confer on,0.30000000000000004,2
confer with,0.65,2
conference call,0.877020202020202,2
conference center,0.8636363636363635,2
conference committee,0.7272727272727273,2
conference room,0.8500000000000001,2
conference table,0.825,2
confession is good for the soul,0.18181818181818182,6
confide in,0.20454545454545447,2
confidence game,0.30000000000000004,2
confidence interval,0.25,2
confidence level,0.4,2
confidence man,0.34090909090909105,2
confidence trick,0.25,2
confidence trickster,0.375,2
confidential information,0.65,2
confidentiality agreement,0.575,2
configuration file,0.575,2
confine to,0.575,2
conflict of interest,0.275,3
conform to,0.2,2
confound it!,0.275,2
conga drum,0.8999999999999999,2
conga drums,0.9750000000000001,2
conga line,0.675,2
congenital anomaly,0.525,2
congenital defect,0.6818181818181818,2
congenital disease,0.6818181818181818,2
congenital disorder,0.475,2
conger eel,0.925,2
congestion charge,0.725,2
congress boot,0.8,2
congressional aide,0.825,2
congressional district,0.5,2
congressional medal of honor,0.7749999999999999,4
conic section,0.525,2
conical buoy,0.8500000000000001,2
conical flask,0.8181818181818181,2
conical hat,0.8541666666666667,2
coniferous tree,0.8676470588235294,2
conjoined twin,0.8500000000000001,2
conjugal right,0.375,2
conjugal rights,0.4,2
conjugal visit,0.725,2
conjugated protein,0.675,2
conjunctive mood,0.475,2
conjure from,0.04999999999999999,2
conjure out of,0.09999999999999998,3
conjure up,0.30000000000000004,2
conjuring trick,0.35,2
conk off,0.22499999999999998,2
conk out,0.475,2
connect time,0.13636363636363635,2
connect up,0.30000000000000004,2
connect up to,0.5,3
connecting flight,0.575,2
connecting rod,0.8,2
connecting room,0.7,2
connective tissue,0.6964285714285714,2
conned into,0.5,2
conning tower,0.8999999999999999,2
connotative of,0.30000000000000004,2
conscience clause,0.42500000000000004,2
conscientious objection,0.42500000000000004,2
conscientious objector,0.35,2
conscious parallelism,0.30000000000000004,2
consciousness raising,0.4,2
consecutive operation,0.55,2
consensus view,0.5,2
consent decree,0.4,2
consent form,0.75,2
consent of the governed,0.5,4
consenting adult,0.6,2
conservation area,0.7,2
conservation of energy,0.5,3
conservation of mass,0.25,3
conservation of matter,0.3529411764705882,3
conservative party,0.575,2
consider it done,0.18181818181818182,3
considering that,0.275,2
consign to,0.375,2
consignment shop,0.8333333333333333,2
consignment store,0.8181818181818181,2
consist in,0.35,2
consist of,0.590909090909091,2
consistent with,0.2727272727272727,2
consolation prize,0.7,2
consonant rhyme,0.5,2
consonant system,0.5227272727272727,2
consonantal system,0.5,2
conspicious by her absence,0.32499999999999996,4
conspicious by his absence,0.22499999999999998,4
conspicuous consumption,0.2,2
conspiracy of silence,0.175,3
conspiracy theorist,0.4545454545454546,2
conspiracy theory,0.25,2
constant of gravitation,0.38636363636363635,3
constituent assembly,0.42500000000000004,2
constitutional court,0.6818181818181818,2
constitutional law,0.6363636363636364,2
constitutional monarchist,0.275,2
constitutional monarchy,0.475,2
constructed language,0.4,2
construction paper,0.8999999999999999,2
construction sector,0.6,2
construction site,0.925,2
construction worker,0.9090909090909092,2
constructive criticism,0.3382352941176471,2
constructive dismissal,0.55,2
constructive engagement,0.55,2
constructive eviction,0.4,2
constructive force,0.575,2
constructive memory,0.2954545454545454,2
constructive notice,0.42500000000000004,2
consulting firm,0.75,2
consulting room,0.7954545454545454,2
consume mass quantities,0.6,3
consumer confidence,0.4,2
consumer credit,0.41666666666666663,2
consumer debt,0.475,2
consumer demand,0.5416666666666666,2
consumer durable,0.475,2
consumer durables,0.4772727272727273,2
consumer economy,0.25,2
consumer goods,0.65,2
consumer group,0.7272727272727273,2
consumer loan,0.5681818181818182,2
consumer market,0.590909090909091,2
consumer price,0.5,2
consumer price index,0.475,3
consumer protection,0.575,2
consumer reports,0.8409090909090908,2
consumer research,0.5,2
consumer society,0.42500000000000004,2
consumers' association,0.4772727272727273,2
