expression,conc,n_words
a laugh a minute,0.42500000000000004,4
a leg to stand on,0.42500000000000004,5
a legend in one's own lifetime,0.175,6
a leopard can't change his spots,0.25,6
a leopard cannot change its spots,0.175,6
a let down,0.09999999999999998,3
A level,0.7083333333333334,2
a lick and a promise,0.22727272727272718,5
a likely story,0.2,3
a little,0.4,2
a little bird told me,0.25,5
a little birdie told me,0.07500000000000001,5
a little bit,0.38636363636363635,3
a little bit of,0.30000000000000004,4
a little bit of bread and no cheese,0.575,8
a little knowledge is a dangerous thing,0.09999999999999998,7
a little learning is a dangerous thing,0.275,7
a little of what you fancy does you good,0.525,9
a load of baloney,0.25,4
a load of cobblers,0.4772727272727273,4
a load of codswallop,0.15000000000000002,4
a lone wolf,0.275,3
a long shot,0.25,3
a long time,0.20833333333333331,3
a long way,0.39583333333333326,3
a loose end,0.175,3
a lost cause,0.16666666666666669,3
a lot,0.475,2
a lot at stake,0.25,4
a lot of,0.2727272727272727,3
a lot of baloney,0.2,4
a lot on your plate,0.25,5
a low profile,0.20454545454545447,3
a lump in my throat,0.33333333333333326,5
A major,0.5227272727272727,2
a majority of,0.40909090909090895,3
a man after my own heart,0.175,6
a man is known by his friends,0.175,7
a man of few words,0.275,5
a man of his word,0.2727272727272727,5
a man who is his own lawyer has a fool for a client,0.32499999999999996,13
a matter of life and death,0.47916666666666663,6
a matter of life or death,0.32499999999999996,6
a matter of time,0.275,4
a mere,0.18181818181818182,2
a method to the madness,0.22499999999999998,5
a mile a minute,0.25,4
a million times,0.40909090909090895,3
a millstone around one's neck,0.43181818181818177,5
a ministering angel shall my sister be,0.125,7
a minority of,0.31818181818181823,3
a miss is as good as a mile,0.25,8
a mixed bag,0.55,3
a month of sundays,0.125,4
a must,0.275,2
a nation of shopkeepers,0.525,4
a necessary evil,0.25,3
a nervous wreck,0.25,3
a nest of vipers,0.4545454545454546,4
a new broom sweeps clean,0.375,5
a new dawn,0.15000000000000002,3
a no-brainer,0.25,2
a No. 1,0.35416666666666663,3
a nod is as good as a wink,0.203125,8
a nod is as good as a wink to a blind horse,0.17307692307692307,12
a notch above,0.2727272727272727,3
a number of,0.375,3
a one,0.525,2
a pair,0.6363636363636364,2
a pat on the back,0.55,5
a peach,0.9750000000000001,2
a penny for your thoughts,0.125,5
a penny saved is a penny earned,0.4,7
a person is known by the company he keeps,0.275,9
a picture is worth a thousand words,0.2941176470588235,7
a picture paints a thousand words,0.2,6
a piece of cake,0.675,4
a piece of the action,0.22727272727272718,5
a pig in a poke,0.175,5
a pillar of strength,0.125,4
a pipe dream,0.07500000000000001,3
a place for everything and everything in its place,0.35416666666666663,9
a place in the sun,0.35,5
a plague on both of your houses,0.09999999999999998,7
a plague on both your houses,0.38636363636363635,6
a pleasure,0.525,2
a plethora of,0.484375,3
a plum in your mouth,0.475,5
a plum job,0.23333333333333328,3
a plus,0.44999999999999996,2
a pocket of resistance,0.42500000000000004,4
a poor view,0.5,3
a poor workman always blames his tools,0.25,7
a pound of flesh,0.5208333333333333,4
a pretty penny,0.4,3
a priori,0.25,2
a problem shared is a problem halved,0.25,7
a prophet is not recognized in his own land,0.2,9
a propos,0.35,2
a put-down,0.32499999999999996,2
a quantity of,0.44999999999999996,3
a question of,0.275,3
a question of time,0.2954545454545454,4
a range of,0.375,3
a red line,0.7291666666666666,3
a red rag to a bull,0.30000000000000004,6
a riddle wrapped up in an enigma,0.175,7
a rip-off,0.42500000000000004,2
a ripe old age,0.3382352941176471,4
a rising tide lifts all boats,0.32499999999999996,6
a roaring trade,0.25,3
a roll,0.6875,2
a rolling stone gathers no moss,0.22499999999999998,6
a rose by any other name would smell as sweet,0.35,10
a rose is a rose is a rose,0.35,8
a rotten egg,0.725,3
a rude awakening,0.375,3
a running battle,0.30000000000000004,3
a sad state of affairs,0.15000000000000002,5
a safe pair of hands,0.25,5
a sea change,0.275,3
a sec,0.5,2
a senior moment,0.275,3
a shame,0.0625,2
a sharp cookie,0.275,3
a short time,0.36363636363636365,3
a shot in the arm,0.5227272727272727,5
a shot in the dark,0.20454545454545447,5
a shouting match,0.38636363636363635,3
a show of hands,0.6363636363636364,4
a shrinking violet,0.25,3
a sight for sore eyes,0.2727272727272727,5
a silver spoon in your mouth,0.16666666666666669,6
a single,0.4545454545454546,2
a skeleton in the closet,0.04999999999999999,5
a slap in the face,0.375,5
a slap on the wrist,0.4545454545454546,5
a sledgehammer to crack a nut,0.44999999999999996,6
a sleeping partner,0.525,3
a slice of heaven,0.13636363636363635,4
a slice of the cake,0.6,5
a slip of the tongue,0.25,5
a smart cookie,0.3125,3
a smokescreen,0.35,2
a smooth landing,0.35,3
a snake in the grass,0.36363636363636365,5
a snap decision,0.3382352941176471,3
a social butterfly,0.25,3
a soft answer turneth away wrath,0.175,6
a sore point,0.21666666666666667,3
a sore spot,0.4558823529411765,3
a sorry sight,0.30000000000000004,3
a sorry state of affairs,0.275,5
a sport,0.575,2
a square peg in a round hole,0.15000000000000002,7
a stitch in time saves nine,0.15000000000000002,6
a stone's throw,0.35416666666666663,3
a stone's throw away,0.43181818181818177,4
a stool pigeon,0.484375,3
a storm is brewing,0.22727272727272718,4
a stretch,0.36363636363636365,2
a student,0.725,2
a stumbling block,0.44999999999999996,3
a tall order,0.275,3
a tall story,0.2,3
a tall tale,0.22916666666666669,3
a target on someone's back,0.2727272727272727,5
a taste of one's own medicine,0.05555555555555558,6
a taste of your own medicine,0.2727272727272727,6
a thin line,0.5,3
a thing of beauty is a joy forever,0.35,8
a thing or two,0.43181818181818177,4
a thorn in my flesh,0.35416666666666663,5
a thorn in your flesh,0.55,5
a thorn in your side,0.22499999999999998,5
a tinker's damn,0.29166666666666663,3
a to z,0.25,3
a to-do,0.5454545454545454,2
a ton,0.7,2
a tongue-lashing,0.265625,2
a toss up,0.25,3
a touch,0.6,2
a touch of,0.35,3
a tough cookie,0.09999999999999998,3
a tower of strength,0.42500000000000004,4
a treat,0.4,2
a trifle,0.35,2
a trouble shared is a trouble halved,0.25,7
a trying time,0.275,3
a turn for the worse,0.375,5
a turn up for the books,0.04999999999999999,6
a variety of,0.22727272727272718,3
a volunteer is worth twenty pressed men,0.175,7
a watched pot never boils,0.35,5
a week from next tuesday,0.44999999999999996,5
a weight off your shoulders,0.35,5
a whale of a time,0.22499999999999998,5
a while,0.35,2
a white lie,0.175,3
a whole lot,0.32499999999999996,3
a wide berth,0.35,3
a wing and a prayer,0.22499999999999998,5
a wolf in sheep's clothing,0.175,5
"a woman is only a woman, but a good cigar is a smoke",0.16249999999999998,13
a woman needs a man like a fish needs a bicycle,0.175,11
a woman of her word,0.18181818181818182,5
a woman's place is in the home,0.07500000000000001,7
a woman's work is never done,0.32499999999999996,6
a word in edgeways,0.06818181818181818,4
a word to the wise,0.15000000000000002,5
a word to the wise is enough,0.09090909090909088,7
a young man's fancy,0.4,4
a-flat minor,0.5,2
a-frame house,0.6818181818181818,2
a-frame tent,0.75,2
a-level,0.475,1
a-sharp major,0.42500000000000004,2
a-team,0.44999999999999996,1
A1,0.375,1
A2 level,0.475,2
abandon a sinking ship,0.2,4
abandon all hope ye who enter here,0.2,7
abandon ship,0.7749999999999999,2
abandoned infant,0.75,2
abate of,0.28846153846153844,2
abatement of a nuisance,0.15000000000000002,4
abbreviated piece of nothing,0.07500000000000001,4
abdominal cavity,0.875,2
abdominal muscle,0.8,2
abdominal pregnancy,0.7,2
abdominal quadrant,0.671875,2
abdominal strap,0.8500000000000001,2
abdominal wall,0.8500000000000001,2
abdominodiaphragmatic breathing,0.675,2
abdominoperineal resection,0.7,2
abductor muscle,0.8863636363636365,2
abide by,0.31818181818181823,2
abide by something,0.32499999999999996,3
abide with me,0.2727272727272727,3
abietic acid,0.75,2
able and willing,0.09999999999999998,3
able bodied,0.55,2
able for,0.29000000000000004,2
able rating,0.30000000000000004,2
able seaman,0.525,2
able to take a joke,0.22499999999999998,5
able-bodied,0.525,1
abnormal psychology,0.4,2
abominable snowman,0.475,2
abortion pill,0.8500000000000001,2
abortion right,0.4772727272727273,2
abound in,0.44999999999999996,2
abound in one's own sense,0.2321428571428572,5
abound with,0.25,2
about face,0.25,2
about time,0.25,2
about to,0.35,2
about turn,0.375,2
about-face,0.38636363636363635,1
above all,0.5997474747474747,2
above and beyond,0.31818181818181823,3
above and beyond the call of duty,0.275,7
above average,0.35,2
above board,0.5,2
above measure,0.30000000000000004,2
above stealing,0.27083333333333326,2
above the curve,0.22916666666666669,3
above the law,0.275,3
above water,0.5,2
above your pay grade,0.275,4
above-the-line promotion,0.275,2
abracadabra,0.5025252525252526,1
abrasive personality,0.13636363636363635,2
absence makes the heart grow fonder,0.125,6
absence makes the heart grow stronger,0.15000000000000002,6
absence seizure,0.525,2
absence without leave,0.36764705882352944,3
absent minded,0.13636363636363635,2
absent without leave,0.35,3
absent-minded,0.2,1
absent-mindedly,0.4545454545454546,1
absent-mindedness,0.3076923076923077,1
absentee ballot,0.65,2
absentee landlord,0.525,2
absentee rate,0.6136363636363636,2
absentee vote,0.5454545454545454,2
absinthe oil,0.8999999999999999,2
absolute ceiling,0.275,2
absolute form,0.44999999999999996,2
absolute frequency,0.38636363636363635,2
absolute humidity,0.44999999999999996,2
absolute majority,0.5,2
absolute pitch,0.4666666666666667,2
absolute power corrupts absolutely,0.375,4
absolute system,0.5227272727272727,2
absolute temperature,0.475,2
absolute term,0.5208333333333333,2
absolute threshold,0.43181818181818177,2
absolute value,0.675,2
absolute zero,0.675,2
absolutely not,0.4545454545454546,2
absorbed dose,0.6,2
absorbent pad,0.7749999999999999,2
absorption band,0.7749999999999999,2
absorption cell,0.375,2
absorption coefficient,0.375,2
absorption factor,0.38636363636363635,2
absorption indicator,0.7,2
absorption spectrum,0.36363636363636365,2
abstract art,0.5,2
abstract artist,0.65,2
abstract entity,0.1388888888888889,2
abstract expressionism,0.11538461538461542,2
abstract expressionist,0.6363636363636364,2
abstract idea,0.2,2
abstract model,0.4,2
abstract music,0.22499999999999998,2
abstract nonsense,0.06818181818181818,2
abstract noun,0.32499999999999996,2
abstract term,0.22058823529411759,2
abstract thought,0.045454545454545525,2
abstract verb,0.30000000000000004,2
abuse of distress,0.32499999999999996,3
abutment arch,0.475,2
abyssal zone,0.44999999999999996,2
acacia tree,0.8999999999999999,2
academic degree,0.7272727272727273,2
academic freedom,0.475,2
academic gown,0.8863636363636365,2
academic robe,0.8409090909090908,2
academic session,0.75,2
academic term,0.575,2
academic year,0.8964646464646464,2
academy award,0.8500000000000001,2
academy awards,0.725,2
accelerate off,0.3653846153846154,2
accelerated graphics port,0.575,3
acceleration principle,0.2666666666666667,2
accelerator board,0.65,2
accelerator card,0.75,2
accelerator pedal,0.8,2
accent mark,0.55,2
accent pillow,0.8999999999999999,2
access code,0.75,2
access control list,0.625,3
access course,0.4545454545454546,2
access number,0.7749999999999999,2
access panel,0.9078947368421053,2
access profile,0.5,2
access provider,0.44999999999999996,2
access road,0.8999999999999999,2
access route,0.6363636363636364,2
access time,0.25,2
accessory after the fact,0.4,4
accessory before the fact,0.2954545454545454,4
accessory fruit,0.65,2
accessory nerve,0.725,2
accident and emergency,0.575,3
accident of birth,0.25,3
accident prone,0.3529411764705882,2
accident surgery,0.44999999999999996,2
accident waiting to happen,0.34090909090909105,4
accident-prone,0.35,1
accidental death,0.55,2
accidental injury,0.5,2
accidentally on purpose,0.175,3
accidents will happen,0.4,3
accommodation centre,0.6136363636363636,2
accommodation ladder,0.5454545454545454,2
accomodate requirements,0.2727272727272727,2
accompanied baggage,0.6363636363636364,2
accomplished fact,0.42500000000000004,2
accord and satisfaction,0.2,3
accord with,0.35,2
according as,0.275,2
according to,0.275,2
accordion door,0.675,2
account book,0.825,2
account executive,0.75,2
account for,0.725,2
account holder,0.7727272727272727,2
account name,0.65,2
account payable,0.65,2
account receivable,0.515625,2
account statement,0.8863636363636365,2
accounting firm,0.725,2
accounting package,0.5454545454545454,2
accounts payable,0.32499999999999996,2
accounts receivable,0.6458333333333333,2
accredit with,0.2,2
accrual basis,0.453125,2
accumulation point,0.6,2
accusative case,0.35,2
accused of,0.25,2
accustom to,0.2954545454545454,2
accustomed to,0.30000000000000004,2
ace a test,0.44999999999999996,3
ace in the hole,0.36363636363636365,4
ace it,0.275,2
ace of clubs,0.675,3
ace of diamond,0.7749999999999999,3
ace of diamonds,0.8,3
ace of hearts,0.8500000000000001,3
ace of spades,0.6,3
ace up one's sleeve,0.25,4
ace up the sleeve,0.39583333333333326,4
ace up your sleeve,0.35416666666666663,4
acerate leaf,0.625,2
acetate disk,0.725,2
acetic acid,0.8,2
acetyl group,0.65,2
acetyltannic acid,0.95,2
ache for,0.175,2
ache over,0.17307692307692307,2
achieve a performance,0.5227272727272727,3
achieve success,0.4,2
achilles heel,0.07500000000000001,2
achilles tendon,0.725,2
achilles' heel,0.44999999999999996,2
achromatic color,0.625,2
achromatic colour,0.625,2
achromatic lens,0.8181818181818181,2
achromatic vision,0.6527777777777778,2
acid house,0.6,2
acid jazz,0.525,2
acid of apples,0.675,3
acid rain,0.9095959595959595,2
acid rock,0.7749999999999999,2
acid taste,0.625,2
acid test,0.6565656565656566,2
ackee tree,0.875,2
acknowledge the corn,0.31818181818181823,3
acne cover,0.7749999999999999,2
acne pimple,0.7749999999999999,2
acne rosacea,0.8500000000000001,2
acorn nut,0.925,2
acorn squash,0.875,2
acoustic buoy,0.7727272727272727,2
acoustic coupler,0.4,2
acoustic emission,0.42500000000000004,2
acoustic guitar,1.0,2
acoustic nerve,0.42500000000000004,2
acoustic power,0.55,2
acoustic resistance,0.4545454545454546,2
acoustic spectrum,0.5694444444444444,2
acoustic velocity,0.4545454545454546,2
acoustic wave,0.43181818181818177,2
acquaintance rape,0.65,2
acquired immune deficiency syndrome,0.7,4
acquired taste,0.375,2
acquit oneself,0.22499999999999998,2
acronyms,0.25,1
across from,0.5625,2
across the board,0.22499999999999998,3
across the country,0.4375,3
across the line,0.38636363636363635,3
across the nation,0.475,3
across the pond,0.590909090909091,3
across-the-board,0.09999999999999998,1
acrylic acid,0.75,2
acrylic fiber,0.95,2
act as,0.20454545454545447,2
act for,0.40909090909090895,2
act high-and-mighty,0.175,2
act of congress,0.32692307692307687,3
act of contrition,0.175,3
act of faith,0.22499999999999998,3
act of god,0.375,3
act of terror,0.6,3
act of terrorism,0.6,3
act on,0.2924242424242424,2
act one's age,0.25,3
act out,0.4623737373737373,2
act reflexively,0.32499999999999996,2
act superior,0.4,2
act the giddy goat,0.32499999999999996,4
act the part,0.575,3
act up,0.32499999999999996,2
act upon,0.46212121212121215,2
act your age,0.175,3
acting out,0.25,2
acting up,0.375,2
action figure,0.925,2
action film,0.8125,2
action group,0.42500000000000004,2
action man,0.55,2
action mechanism,0.42500000000000004,2
action movie,0.725,2
action officer,0.625,2
action painting,0.44999999999999996,2
action plant,0.475,2
action point,0.36363636363636365,2
action potential,0.175,2
action replay,0.7,2
action research,0.44999999999999996,2
action stations,0.375,2
action verb,0.25,2
actions speak louder than words,0.125,5
active agent,0.475,2
active birth,0.525,2
active duty,0.5,2
active galactic nucleus,0.5681818181818182,3
active immunity,0.5681818181818182,2
active ingredient,0.625,2
active list,0.5454545454545454,2
active placebo,0.4772727272727273,2
active service,0.44999999999999996,2
active voice,0.575,2
active window,0.65,2
activist judge,0.7,2
activist justice,0.25,2
activity holiday,0.475,2
actor agent,0.825,2
acts of god,0.275,3
actual bodily harm,0.6,3
actual eviction,0.55,2
actuarial table,0.625,2
acute accent,0.4772727272727273,2
acute angle,0.6875,2
acute glaucoma,0.7749999999999999,2
acute kidney failure,0.525,3
acute triangle,0.625,2
ad agency,0.6,2
ad campaign,0.44999999999999996,2
ad hoc,0.375,2
ad hominem,0.5,2
ad infinitum,0.09999999999999998,2
ad lib,0.42500000000000004,2
ad libitum,0.34375,2
ad libs,0.36363636363636365,2
ad page,0.625,2
ad valorem,0.35,2
ad-hoc polymorphism,0.55,2
ad-lib,0.5666666666666667,1
adam and eve,0.44999999999999996,3
adam's apple,0.9318181818181821,2
adaptive optics,0.6785714285714284,2
add bonus,0.5,2
add fuel to the fire,0.525,5
add fuel to the flames,0.30000000000000004,5
add in,0.41666666666666663,2
add insult to injury,0.09090909090909088,4
add on,0.39785353535353535,2
add on to,0.4,3
add to,0.42500000000000004,2
add together,0.525,2
add up,0.38409090909090915,2
add up to,0.35,3
addams family,0.7749999999999999,2
added value,0.375,2
adder's mouth,0.675,2
adder's tongue,0.625,2
adding machine,0.7666666666666666,2
addition reaction,0.55,2
addition sign,0.65,2
additive group,0.5227272727272727,2
additive inverse,0.22727272727272718,2
address bar,0.7045454545454544,2
address book,0.7954545454545454,2
adductor muscle,0.8999999999999999,2
adenosine triphosphate,0.6,2
adequate to,0.2727272727272727,2
adhere to,0.2954545454545454,2
adhesion contract,0.43181818181818177,2
adhesive agent,0.659090909090909,2
adhesive bandage,0.875,2
adhesive material,0.725,2
adhesive tape,0.95,2
adirondack chair,0.825,2
adjacent angle,0.6818181818181818,2
adjacent to,0.35,2
adjectival group,0.275,2
adjective group,0.38636363636363635,2
adjoining room,0.8,2
adjourn to,0.34090909090909105,2
adjustable spanner,0.7749999999999999,2
adjustable wrench,0.825,2
adjusting entry,0.34090909090909105,2
adjutant general,0.55,2
adjutants general,0.625,2
administrative assistant,0.8500000000000001,2
administrative official,0.763157894736842,2
administrative unit,0.725,2
admiral of the fleet,0.6,4
admiral's cup,0.6153846153846154,2
admiralty law,0.4,2
admission charge,0.675,2
admission day,0.5454545454545454,2
admission fee,0.625,2
admit of,0.30000000000000004,2
admit to,0.30000000000000004,2
adobe house,0.7749999999999999,2
adoption agency,0.7749999999999999,2
adoptive father,0.8181818181818181,2
adoptive mother,0.875,2
adoptive parent,0.8,2
adrenal gland,0.7,2
adrenaline junkie,0.6,2
adsorbent material,0.575,2
aduki bean,0.875,2
adult body,0.9318181818181821,2
adult education,0.625,2
adult female,0.8999999999999999,2
adult intelligence,0.44999999999999996,2
adult life,0.30000000000000004,2
adult male,0.875,2
adult male body,0.825,3
adult third culture kids,0.44999999999999996,4
adult tooth,0.8958333333333333,2
advance cheque,0.5,2
advance directive,0.4545454545454546,2
advance guard,0.35,2
advance look,0.5,2
advance poll,0.5,2
advance warning,0.42500000000000004,2
advanced degree,0.5454545454545454,2
advanced guard,0.5,2
advanced higher,0.4,2
advanced in years,0.44999999999999996,3
advanced level,0.36363636363636365,2
advanced placement,0.5227272727272727,2
advanced subsidiary level,0.475,3
advent calendar,0.625,2
advent sunday,0.475,2
adventure education,0.22499999999999998,2
adventure game,0.7,2
adventure holiday,0.475,2
adventure playground,0.825,2
adventure story,0.525,2
adventure tour,0.5454545454545454,2
adventure travel,0.7045454545454544,2
adverb group,0.40909090909090895,2
adverb phrase,0.2954545454545454,2
adverbial group,0.30000000000000004,2
adverbial particle,0.55,2
adversarial system,0.20454545454545447,2
adverse opinion,0.25,2
adverse witness,0.625,2
adversity makes strange bedfellows,0.22499999999999998,4
advertising agency,0.375,2
advertising campaign,0.6136363636363636,2
advertising department,0.55,2
advertising firm,0.6363636363636364,2
advice and consent,0.44999999999999996,3
advice boat,0.55,2
advice column,0.725,2
advice columnist,0.675,2
advice line,0.42500000000000004,2
advisory board,0.675,2
advisory opinion,0.359375,2
advisory service,0.65,2
advocacy group,0.75,2
aerial cableway,0.8,2
aerobic respiration,0.725,2
aerodynamic lift,0.8,2
aerosol can,0.40315656565656566,2
afar off,0.20454545454545447,2
affair of the heart,0.09999999999999998,4
affairs of state,0.35,3
affect perseverance,0.30000000000000004,2
affective disorder,0.42500000000000004,2
affiliate marketing,0.31818181818181823,2
affine transformation,0.475,2
affinity card,0.75,2
affinity group,0.375,2
affirmative action,0.4836601307189543,2
affirmative pleading,0.44999999999999996,2
afford to,0.31818181818181823,2
affordable housing,0.590909090909091,2
afghan hound,0.7727272727272727,2
afoul of,0.25,2
afraid of one's own shadow,0.25,5
afraid of your shadow,0.4,4
african american,0.75,2
african canadian,0.78125,2
african caribbean,0.65,2
african renaissance,0.38636363636363635,2
african violet,0.725,2
african-american,0.825,1
africanist dance,0.7045454545454544,2
afro hairdo,0.825,2
afro wig,0.9166666666666667,2
afro-seminole creole,0.48611111111111116,2
after a fashion,0.275,3
after a storm comes a calm,0.25,6
after all,0.15000000000000002,2
after all is said and done,0.22499999999999998,6
after all that,0.22499999999999998,3
after due consideration,0.275,3
after hours,0.3571428571428571,2
after one's own heart,0.22499999999999998,4
after part,0.22499999999999998,2
after party,0.5625,2
after saturday comes sunday,0.42307692307692313,4
after the dust settles,0.42500000000000004,4
after the fact,0.375,3
after the lord mayor's show,0.55,5
after the manner of,0.175,4
after-sales service,0.375,2
after-shave lotion,0.9750000000000001,2
afternoon shift,0.65,2
afternoon tea,0.75,2
again and again,0.30000000000000004,3
against all odds,0.275,3
against my better judgment,0.275,4
against my will,0.375,3
against one's better judgement,0.2727272727272727,4
against the clock,0.09999999999999998,3
against the collar,0.31666666666666665,3
against the grain,0.20454545454545447,3
against the law,0.575,3
against the run of play,0.22499999999999998,5
against the stream,0.44999999999999996,3
against the wind,0.34090909090909105,3
against your will,0.09999999999999998,3
agape love,0.2727272727272727,2
age before beauty,0.25,3
age bracket,0.55,2
age class,0.55,2
age discrimination,0.2727272727272727,2
age gap,0.31818181818181823,2
age group,0.25,2
age limit,0.4,2
age norm,0.44999999999999996,2
